bm_symbol,bm_date,bm_purpose,bm_desc,sm_indusrty,bm_timestamp,sm_name,sm_isin,diff,sysTime,attFileSize,attachment,ixbrl,ixbrlFileSize,symbol,company_name,intimationType,meetingType,oriiginalMeetingDate,proposedMeetingDate,bm_source
ASIANPAINT,29-Jul-2026,Financial Results,"This is to inform that a meeting of the Board of Directors of the Company will be held on Wednesday, 29th July 2026, inter alia, to consider and approve 1. audited standalone financial results of the Company for the quarter ended 30th June 2026; and 2. unaudited consolidated financial results of the Company for the quarter ended 30th June 2026.",Paints,06-Jul-2026 10:27:49,Asian Paints Limited,INE021A01018,00:00:00,06-Jul-2026 10:27:49,229.00 KB,https://nsearchives.nseindia.com/corporate/ASIANPAINT_06072026102334_BM_Intimation_Q1_FY_2027_Stock_Exchanges_signed.pdf,,,ASIANPAINT,Asian Paints Ltd.,,,,,
ASIANPAINT,29-May-2026,Board Meeting Intimation,ASIAN PAINTS LIMITED has informed the Exchange about Board Meeting to be held on 29-May-2026 to consider and approve the Yearly Audited Financial results of the Company for the period ended March 2026 and Dividend.,Paints,30-Apr-2026 13:03:54,Asian Paints Limited,INE021A01018,00:00:03,30-Apr-2026 13:03:57,15.50 KB,https://nsearchives.nseindia.com/corporate/xbrl/PIBM_500820_304202613342_PRIOR_INTIMATION_WebXMLFile_20260430_130352401.xml,https://nsearchives.nseindia.com/corporate/ixbrl/PRIOR_INTIMATION_20260430_130352_WEB.html,3.94 KB,ASIANPAINT,Asian Paints Ltd.,,,,,
ASIANPAINT,27-Jan-2026,Board Meeting Intimation,ASIAN PAINTS LIMITED has informed the Exchange about Board Meeting to be held on 27-Jan-2026 to inter-alia consider and approve the Audited Financial results of the Company for the Quarterly ended December 2025 .,Paints,15-Dec-2025 19:17:32,Asian Paints Limited,INE021A01018,00:00:02,15-Dec-2025 19:17:34,6.94 KB,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_73980_1586149_15122025071730_WEB.xml,https://nsearchives.nseindia.com/corporate/ixbrl/PRIOR_INTIMATION_73980_15122025191730_iXBRL_WEB.html,3.45 KB,ASIANPAINT,Asian Paints Ltd.,,,,,
ASIANPAINT,12-Nov-2025,Board Meeting Intimation,ASIAN PAINTS LIMITED has informed the Exchange about Board Meeting to be held on 12-Nov-2025 to consider and approve the Half Yearly Audited Financial results of the Company for the period ended September 2025 and Dividend.,Paints,03-Oct-2025 19:40:34,Asian Paints Limited,INE021A01018,00:00:03,03-Oct-2025 19:40:37,7.23 KB,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_67860_1540907_03102025074032_WEB.xml,https://nsearchives.nseindia.com/corporate/ixbrl/PRIOR_INTIMATION_67860_03102025194032_iXBRL_WEB.html,3.80 KB,ASIANPAINT,Asian Paints Ltd.,,,,,
ASIANPAINT,29-Jul-2025,Board Meeting Intimation,ASIAN PAINTS LIMITED has informed the Exchange about Board Meeting to be held on 29-Jul-2025 to inter-alia consider and approve the Audited Financial results of the Company for the Quarterly ended June 2025 .,Paints,16-Jun-2025 20:17:38,Asian Paints Limited,INE021A01018,00:00:03,16-Jun-2025 20:17:41,,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_58034_1467327_16062025081736_WEB.xml,https://nsearchives.nseindia.com/corporate/ixbrl/PRIOR_INTIMATION_58034_16062025201736_iXBRL_WEB.html,,ASIANPAINT,Asian Paints Ltd.,,,,,
ASIANPAINT,08-May-2025,Board Meeting Intimation,ASIAN PAINTS LIMITED has informed the Exchange about Board Meeting to be held on 08-May-2025 to consider and approve the Yearly Audited Financial results of the Company for the period ended March 2025 and Dividend.,Paints,17-Mar-2025 19:57:06,Asian Paints Limited,INE021A01018,00:00:03,17-Mar-2025 19:57:09,,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_48718_1396920_17032025075702_WEB.xml,https://nsearchives.nseindia.com/corporate/ixbrl/PRIOR_INTIMATION_48718_17032025195702_iXBRL_WEB.html,,ASIANPAINT,Asian Paints Ltd.,,,,,
ASIANPAINT,04-Feb-2025,Financial Results,"This is to inform you that a meeting of the Board of Directors of the Company will be held on Tuesday, 4th February 2025, inter alia, to consider the following: 1. Approval of audited standalone financial results of the Company for the quarter and nine months period ended 31st December 2024; and 2. Approval of unaudited consolidated financial results of the Company for the quarter and nine months period ended 31st December 2024.",Paints,07-Jan-2025 18:41:46,Asian Paints Limited,INE021A01018,00:00:00,07-Jan-2025 18:41:46,,https://nsearchives.nseindia.com/corporate/ASIANPAINT_07012025184100_PriorIntimationDecember2024signed.pdf,,,ASIANPAINT,Asian Paints Ltd.,,,,,
ASIANPAINT,09-Nov-2024,ASIAN PAINTS LIMITED has informed the Exchange about Board Meeting to be held on 09-Nov-2024 to consider and approve the Quarterly Audited Financial results of the Company for the period ended September 2024 and Dividend.,Board Meeting Intimation,Paints,18-Oct-2024 19:46:42,Asian Paints Limited,INE021A01018,00:00:02,18-Oct-2024 19:46:44,,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_37898_1279081_18102024074639_WEB.xml,,,ASIANPAINT,Asian Paints Ltd.,,,,,
ASIANPAINT,23-Oct-2024,Financial Results/Dividend,"This is with reference to our letter no. APL/SEC/42/2024-25/01 dated 13th September 2024, wherein it was informed that a meeting of the Board of Directors of the Company will be held on Wednesday, 23rd October 2024, inter alia, to consider the following: 1) Approval of audited standalone financial results of the Company for the quarter and half year ended 30th September 2024; 2) Approval of unaudited consolidated financial results of the Company for the quarter and half year ended 30th September 2024; and 3) Declaration of interim dividend, if any, for the financial year ending 31st March 2025. This is to inform you that the aforesaid meeting of the Board of Directors is being rescheduled to Saturday, 9th November 2024. Consequently, the record date for payment of interim dividend, if declared, will be Tuesday, 19th November 2024.",Paints,18-Oct-2024 17:11:42,Asian Paints Limited,INE021A01018,00:00:00,18-Oct-2024 17:11:42,,https://nsearchives.nseindia.com/corporate/ASIANPAINT_18102024171142_SEIntimationReschedulingofBoardMeeting.pdf,,,ASIANPAINT,Asian Paints Ltd.,,,,,
ASIANPAINT,17-Jul-2024,ASIAN PAINTS LIMITED has informed the Exchange about Board Meeting to be held on 17-Jul-2024 to inter-alia consider and approve the Audited Financial results of the Company for the Quarterly ended June 2024 .,Board Meeting Intimation,Paints,14-Jun-2024 19:45:20,Asian Paints Limited,INE021A01018,00:00:03,14-Jun-2024 19:45:23,,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_28159_1158297_14062024074518_WEB.xml,,,ASIANPAINT,Asian Paints Ltd.,,,,,
