bm_symbol,bm_date,bm_purpose,bm_desc,sm_indusrty,bm_timestamp,sm_name,sm_isin,diff,sysTime,attFileSize,attachment,intimationType,ixbrl,ixbrlFileSize,meetingType,oriiginalMeetingDate,proposedMeetingDate
SHRIRAMFIN,24-Apr-2026,Board Meeting Intimation,Shriram Finance Limited has informed the Exchange about Board Meeting to be held on 24-Apr-2026 to consider and approve the Yearly Audited Financial results of the Company for the period ended March 2026 and Dividend/Fund raising/Other business.,-,15-Apr-2026 18:37:06,Shriram Finance Limited,INE721A01013,00:00:03,15-Apr-2026 18:37:09,16.26 KB,https://nsearchives.nseindia.com/corporate/xbrl/PIBM_511218_154202618370_PRIOR_INTIMATION_WebXMLFile_20260415_183704442.xml,,https://nsearchives.nseindia.com/corporate/ixbrl/PRIOR_INTIMATION_20260415_183704_WEB.html,3.79 KB,,,
SHRIRAMFIN,24-Apr-2026,Financial Results/Dividend/Fund Raising/Other business matters,"To consider and approve1. Audited Standalone and Consolidated Financial Results of the Company for the fourth quarter and financial year ended March 31, 2026.2. Recommendation of final dividend, if any, for the financial year ended March 31, 2026.3. Resource mobilisation plan for the financial year 2026-27 for issuance of debt securities viz. redeemable non-convertible debentures ( NCDs )/ subordinated debentures on private placement basis and/or public issue in tranches, External Commercial Borrowings including bonds/notes, securitisation and any other methods of borrowing in onshore/offshore market for the purpose of business of the Company. 4. Matters relating to the ensuring 47th Annual General Meeting of the Company.",-,15-Apr-2026 18:29:56,Shriram Finance Limited,INE721A01013,00:00:00,15-Apr-2026 18:29:56,304.09 KB,https://nsearchives.nseindia.com/corporate/Mathew_15042026182933_BSENSEpriorintimationmarch26.pdf,,,,,,
SHRIRAMFIN,23-Jan-2026,Board Meeting Intimation,Shriram Finance Limited has informed the Exchange about Board Meeting to be held on 23-Jan-2026 to consider and approve the Quarterly Unaudited Financial results of the Company for the period ended December 2025 and Fund raising/Other business.,-,16-Jan-2026 11:28:44,Shriram Finance Limited,INE721A01013,00:00:03,16-Jan-2026 11:28:47,6.98 KB,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_75581_1601930_16012026112842_WEB.xml,,https://nsearchives.nseindia.com/corporate/ixbrl/PRIOR_INTIMATION_75581_16012026112842_iXBRL_WEB.html,3.35 KB,,,
SHRIRAMFIN,23-Jan-2026,Financial Results/Fund Raising/Other business matters,"To consider and approve the financial results for the period ended December 31, 2025, Fund Raising and other business matters",-,16-Jan-2026 11:22:26,Shriram Finance Limited,INE721A01013,00:00:00,16-Jan-2026 11:22:26,269.66 KB,https://nsearchives.nseindia.com/corporate/Mathew_16012026112210_BM_Intimation_Dec_Qtr_2025.pdf,,,,,,
SHRIRAMFIN,19-Dec-2025,Board Meeting Intimation,Shriram Finance Limited has informed the Exchange about Board Meeting to be held on 19-Dec-2025 to consider Fund raising.,-,16-Dec-2025 22:17:00,Shriram Finance Limited,INE721A01013,00:00:03,16-Dec-2025 22:17:03,6.72 KB,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_74063_1586632_16122025101658_WEB.xml,,https://nsearchives.nseindia.com/corporate/ixbrl/PRIOR_INTIMATION_74063_16122025221658_iXBRL_WEB.html,2.88 KB,,,
SHRIRAMFIN,19-Dec-2025,Fund Raising/Other business matters,To consider Fund Raising and other business matters,-,16-Dec-2025 22:01:28,Shriram Finance Limited,INE721A01013,00:00:00,16-Dec-2025 22:01:28,299.10 KB,https://nsearchives.nseindia.com/corporate/Mathew_16122025220110_NSEBSEBoardMeetingIntimation.pdf,,,,,,
SHRIRAMFIN,31-Oct-2025,Board Meeting Intimation,Shriram Finance Limited has informed the Exchange about Board Meeting to be held on 31-Oct-2025 to consider and approve the Half Yearly Unaudited Financial results of the Company for the period ended September 2025 and Dividend/Fund raising.,-,14-Oct-2025 15:58:28,Shriram Finance Limited,INE721A01013,00:00:02,14-Oct-2025 15:58:30,7.15 KB,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_68429_1547544_14102025035826_WEB.xml,,https://nsearchives.nseindia.com/corporate/ixbrl/PRIOR_INTIMATION_68429_14102025155826_iXBRL_WEB.html,3.43 KB,,,
SHRIRAMFIN,31-Oct-2025,Financial Results/Dividend/Fund Raising/Other business matters,"To consider and approve the financial results for the period ended September 30, 2025, dividend, Fund Raising and other business matters",-,14-Oct-2025 15:51:28,Shriram Finance Limited,INE721A01013,00:00:00,14-Oct-2025 15:51:28,639.88 KB,https://nsearchives.nseindia.com/corporate/Mathew_14102025155103_BMIntimationSeptQrtr25.pdf,,,,,,
SHRIRAMFIN,25-Jul-2025,Board Meeting Intimation,Shriram Finance Limited has informed the Exchange about Board Meeting to be held on 25-Jul-2025 to consider and approve the Quarterly Unaudited Financial results of the Company for the period ended June 2025 and Fund raising/Other business.,-,15-Jul-2025 12:39:48,Shriram Finance Limited,INE721A01013,00:00:03,15-Jul-2025 12:39:51,,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_59753_1482847_15072025123946_WEB.xml,,https://nsearchives.nseindia.com/corporate/ixbrl/PRIOR_INTIMATION_59753_15072025123946_iXBRL_WEB.html,,,,
SHRIRAMFIN,25-Jul-2025,Financial Results/Fund Raising/Other business matters,"To consider and approve the unaudited financial results for the period ended Jun 30, 2025, Fund Raising and other business matters",-,15-Jul-2025 12:27:01,Shriram Finance Limited,INE721A01013,00:00:00,15-Jul-2025 12:27:01,719.14 KB,https://nsearchives.nseindia.com/corporate/Mathew_15072025122624_IntimationofBM.pdf,,,,,,
