exDate,recDate,subject,faceVal
23-Jul-2026 17:07:19,23-Jul-2026 17:07:19,Updates,1
22-Jul-2026 15:09:23,22-Jul-2026 15:09:23,Record Date,1
22-Jul-2026 14:54:09,22-Jul-2026 14:54:09,Dividend,1
21-Jan-2026 15:02:16,21-Jan-2026 15:02:16,Updates,1
20-Jan-2026 15:45:01,20-Jan-2026 15:45:01,Record Date,1
20-Jan-2026 15:16:56,20-Jan-2026 15:16:56,Dividend,1
25-Jul-2025 16:03:00,25-Jul-2025 16:03:00,Updates,1
23-Jul-2025 15:00:22,23-Jul-2025 15:00:22,Dividend,1
16-Jul-2025 17:18:54,16-Jul-2025 17:18:54,Record Date,1
30-Jan-2025 12:46:17,30-Jan-2025 12:46:17,Updates,1
29-Jan-2025 16:02:08,29-Jan-2025 16:02:08,Dividend,1
23-Jan-2025 18:10:24,23-Jan-2025 18:10:24,Revised Record date,1
22-Jan-2025 16:46:54,22-Jan-2025 16:46:54,Record Date,1
24-Jul-2024 20:39:46,24-Jul-2024 20:39:46,Updates,1
23-Jul-2024 14:29:16,23-Jul-2024 14:29:16,Dividend Updates,1
16-Jul-2024 16:04:06,16-Jul-2024 16:04:06,Record Date,1
31-Jan-2024 13:06:04,31-Jan-2024 13:06:04,Updates,1
30-Jan-2024 15:47:23,30-Jan-2024 15:47:23,Dividend,1
22-Jan-2024 16:08:42,22-Jan-2024 16:08:42,Record Date,1
25-Jul-2023 18:13:07,25-Jul-2023 18:13:07,Updates,1
24-Jul-2023 14:39:57,24-Jul-2023 14:39:57,Dividend,1
17-Jul-2023 16:30:14,17-Jul-2023 16:30:14,Record Date,1
01-Feb-2023 13:01:24,01-Feb-2023 13:01:24,Updates,1
30-Jan-2023 15:14:10,30-Jan-2023 15:14:10,Dividend Updates,1
23-Jan-2023 15:35:37,23-Jan-2023 15:35:37,Record Date,1
23-Jul-2022 11:49:03,23-Jul-2022 11:49:03,General updates,1
21-Jul-2022 15:43:33,21-Jul-2022 15:43:33,Dividend,1
13-Jul-2022 11:15:18,13-Jul-2022 11:15:18,Record Date,1
28-Jan-2022 18:23:23,28-Jan-2022 18:23:23,Updates,1
25-Jan-2022 15:15:34,25-Jan-2022 15:15:34,Dividend Updates,1
17-Jan-2022 14:42:53,17-Jan-2022 14:42:53,Record Date,1
31-Aug-2021 14:18:08,31-Aug-2021 14:18:08,Bonus,1
28-Jul-2021 14:02:42,28-Jul-2021 14:02:42,Dividend Updates,1
22-Jul-2021 18:42:44,22-Jul-2021 18:42:44,Record Date,1
21-Jan-2021 15:26:04,21-Jan-2021 15:26:04,Dividend Updates,1
11-Jan-2021 19:40:18,11-Jan-2021 19:40:18,Record Date,1
30-Jul-2020 14:11:00,30-Jul-2020 14:11:00,Dividend Updates,1
24-Jul-2020 11:13:00,24-Jul-2020 11:13:00,Record Date,1
03-Feb-2020 18:22:00,03-Feb-2020 18:22:00,Dividend,1
23-Jan-2020 12:10:00,23-Jan-2020 12:10:00,Record Date,1
05-Aug-2019 17:11:00,05-Aug-2019 17:11:00,Dividend,1
23-Jul-2019 18:04:00,23-Jul-2019 18:04:00,Record Date,1
04-Feb-2019 18:37:00,04-Feb-2019 18:37:00,Dividend,1
28-Jan-2019 10:46:00,28-Jan-2019 10:46:00,Record Date,1
07-Aug-2018 19:10:00,07-Aug-2018 19:10:00,Dividend,1
