bcEndDate,bcStartDate,comp,exDate,faceVal,ind,isin,ndEndDate,ndStartDate,recDate,series,subject,symbol,company_name,caBroadcastDate,ca_source
-,-,Tata Consultancy Services Limited,15-Jul-2026,1,-,INE467B01029,-,-,15-Jul-2026,EQ,Interim Dividend - Rs 12 Per Share,TCS,Tata Consultancy Services Ltd.,,
-,-,Tata Consultancy Services Limited,25-May-2026,1,-,INE467B01029,-,-,25-May-2026,EQ,Dividend - Rs 31 Per Share,TCS,Tata Consultancy Services Ltd.,,
-,-,Tata Consultancy Services Limited,16-Jan-2026,1,-,INE467B01029,-,-,17-Jan-2026,EQ,Interim Dividend Rs 11 Per Share/ Special Dividend Rs 46 Per Share,TCS,Tata Consultancy Services Ltd.,,
-,-,Tata Consultancy Services Limited,15-Oct-2025,1,-,INE467B01029,-,-,15-Oct-2025,EQ,Interim Dividend - Rs 11 Per Share,TCS,Tata Consultancy Services Ltd.,,
-,-,Tata Consultancy Services Limited,16-Jul-2025,1,-,INE467B01029,-,-,16-Jul-2025,EQ,Interim Dividend - Rs 11 Per Share,TCS,Tata Consultancy Services Ltd.,,
-,-,Tata Consultancy Services Limited,04-Jun-2025,1,-,INE467B01029,-,-,04-Jun-2025,EQ,Dividend - Rs 30 Per Share,TCS,Tata Consultancy Services Ltd.,,
-,-,Tata Consultancy Services Limited,17-Jan-2025,1,-,INE467B01029,-,-,17-Jan-2025,EQ,Interim Dividend - Rs 10 Per Share Special Dividend - Rs 66 Per Share,TCS,Tata Consultancy Services Ltd.,,
-,-,Tata Consultancy Services Limited,18-Oct-2024,1,-,INE467B01029,-,-,18-Oct-2024,EQ,Interim Dividend - Rs 10 Per Share,TCS,Tata Consultancy Services Ltd.,,
-,-,Tata Consultancy Services Limited,19-Jul-2024,1,-,INE467B01029,-,-,20-Jul-2024,EQ,Interim Dividend - Rs 10 Per Share,TCS,Tata Consultancy Services Ltd.,,
-,-,Tata Consultancy Services Limited,16-May-2024,1,-,INE467B01029,-,-,16-May-2024,EQ,Dividend - Rs 28 Per Share,TCS,Tata Consultancy Services Ltd.,,
-,-,Tata Consultancy Services Limited,19-Jan-2024,1,-,INE467B01029,-,-,19-Jan-2024,EQ,Interim Dividend - Rs 9 Per Share Special Dividend - Rs 18 Per Share,TCS,Tata Consultancy Services Ltd.,,
-,-,Tata Consultancy Services Limited,24-Nov-2023,1,-,INE467B01029,-,-,25-Nov-2023,EQ,Buy Back,TCS,Tata Consultancy Services Ltd.,,
-,-,Tata Consultancy Services Limited,19-Oct-2023,1,-,INE467B01029,-,-,19-Oct-2023,EQ,Interim Dividend - Rs 9 Per Share,TCS,Tata Consultancy Services Ltd.,,
-,-,Tata Consultancy Services Limited,20-Jul-2023,1,-,INE467B01029,-,-,20-Jul-2023,EQ,Interim Dividend - Rs 9 Per Share,TCS,Tata Consultancy Services Ltd.,,
-,-,Tata Consultancy Services Limited,15-Jun-2023,1,-,INE467B01029,-,-,15-Jun-2023,EQ,Dividend - Rs 24 Per Share,TCS,Tata Consultancy Services Ltd.,,
-,-,Tata Consultancy Services Limited,16-Jan-2023,1,-,INE467B01029,-,-,17-Jan-2023,EQ,Interim Dividend - Rs 8 Per Share Special Dividend - Rs 67 Per Share,TCS,Tata Consultancy Services Ltd.,,
-,-,Tata Consultancy Services Limited,17-Oct-2022,1,-,INE467B01029,-,-,18-Oct-2022,EQ,Interim Dividend - Rs 8 Per Share,TCS,Tata Consultancy Services Ltd.,,
-,-,Tata Consultancy Services Limited,14-Jul-2022,1,-,INE467B01029,-,-,16-Jul-2022,EQ,Interim Dividend- Rs 8 Per Share,TCS,Tata Consultancy Services Ltd.,,
-,-,Tata Consultancy Services Limited,25-May-2022,1,-,INE467B01029,-,-,26-May-2022,EQ,Dividend - Rs 22 Per Share,TCS,Tata Consultancy Services Ltd.,,
-,-,Tata Consultancy Services Limited,22-Feb-2022,1,-,INE467B01029,-,-,23-Feb-2022,EQ,Buyback,TCS,Tata Consultancy Services Ltd.,,
,,TCS,19-Jan-2022,1,,,,,19-Jan-2022,,Dividend - Rs 7.0 Per Share,TCS,TCS,,yahoo
,,TCS,14-Oct-2021,1,,,,,14-Oct-2021,,Dividend - Rs 7.0 Per Share,TCS,TCS,,yahoo
,,TCS,15-Jul-2021,1,,,,,15-Jul-2021,,Dividend - Rs 7.0 Per Share,TCS,TCS,,yahoo
,,TCS,25-May-2021,1,,,,,25-May-2021,,Dividend - Rs 15.0 Per Share,TCS,TCS,,yahoo
,,TCS,14-Jan-2021,1,,,,,14-Jan-2021,,Dividend - Rs 6.0 Per Share,TCS,TCS,,yahoo
,,TCS,14-Oct-2020,1,,,,,14-Oct-2020,,Dividend - Rs 12.0 Per Share,TCS,TCS,,yahoo
,,TCS,16-Jul-2020,1,,,,,16-Jul-2020,,Dividend - Rs 5.0 Per Share,TCS,TCS,,yahoo
,,TCS,03-Jun-2020,1,,,,,03-Jun-2020,,Dividend - Rs 6.0 Per Share,TCS,TCS,,yahoo
,,TCS,19-Mar-2020,1,,,,,19-Mar-2020,,Dividend - Rs 12.0 Per Share,TCS,TCS,,yahoo
,,TCS,23-Jan-2020,1,,,,,23-Jan-2020,,Dividend - Rs 5.0 Per Share,TCS,TCS,,yahoo
,,TCS,17-Oct-2019,1,,,,,17-Oct-2019,,Dividend - Rs 45.0 Per Share,TCS,TCS,,yahoo
,,TCS,16-Jul-2019,1,,,,,16-Jul-2019,,Dividend - Rs 5.0 Per Share,TCS,TCS,,yahoo
,,TCS,04-Jun-2019,1,,,,,04-Jun-2019,,Dividend - Rs 18.0 Per Share,TCS,TCS,,yahoo
,,TCS,17-Jan-2019,1,,,,,17-Jan-2019,,Dividend - Rs 4.0 Per Share,TCS,TCS,,yahoo
,,TCS,23-Oct-2018,1,,,,,23-Oct-2018,,Dividend - Rs 4.0 Per Share,TCS,TCS,,yahoo
,,TCS,17-Jul-2018,1,,,,,17-Jul-2018,,Dividend - Rs 4.0 Per Share,TCS,TCS,,yahoo
,,TCS,31-May-2018,1,,,,,31-May-2018,,2:1,TCS,TCS,,yahoo
,,TCS,22-Jan-2018,1,,,,,22-Jan-2018,,Dividend - Rs 3.5 Per Share,TCS,TCS,,yahoo
,,TCS,25-Oct-2017,1,,,,,25-Oct-2017,,Dividend - Rs 3.5 Per Share,TCS,TCS,,yahoo
,,TCS,24-Jul-2017,1,,,,,24-Jul-2017,,Dividend - Rs 3.5 Per Share,TCS,TCS,,yahoo
,,TCS,13-Jun-2017,1,,,,,13-Jun-2017,,Dividend - Rs 13.75 Per Share,TCS,TCS,,yahoo
,,TCS,23-Jan-2017,1,,,,,23-Jan-2017,,Dividend - Rs 3.25 Per Share,TCS,TCS,,yahoo
,,TCS,24-Oct-2016,1,,,,,24-Oct-2016,,Dividend - Rs 3.25 Per Share,TCS,TCS,,yahoo
,,TCS,25-Jul-2016,1,,,,,25-Jul-2016,,Dividend - Rs 3.25 Per Share,TCS,TCS,,yahoo
,,TCS,06-Jun-2016,1,,,,,06-Jun-2016,,Dividend - Rs 13.5 Per Share,TCS,TCS,,yahoo
,,TCS,21-Jan-2016,1,,,,,21-Jan-2016,,Dividend - Rs 2.75 Per Share,TCS,TCS,,yahoo
,,TCS,23-Oct-2015,1,,,,,23-Oct-2015,,Dividend - Rs 2.75 Per Share,TCS,TCS,,yahoo
,,TCS,20-Jul-2015,1,,,,,20-Jul-2015,,Dividend - Rs 2.75 Per Share,TCS,TCS,,yahoo
,,TCS,05-Jun-2015,1,,,,,05-Jun-2015,,Dividend - Rs 12.0 Per Share,TCS,TCS,,yahoo
,,TCS,27-Jan-2015,1,,,,,27-Jan-2015,,Dividend - Rs 2.5 Per Share,TCS,TCS,,yahoo
,,TCS,29-Oct-2014,1,,,,,29-Oct-2014,,Dividend - Rs 2.5 Per Share,TCS,TCS,,yahoo
