Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,3.75,12.75,12.75,12.75
Reserves,-4.17,11.67,10.55,10.02
Borrowings,0.43,19.34,4.21,3.90
  └─ Long term Borrowings,0.00,0.00,1.15,0.34
  └─ Short term Borrowings,0.43,19.34,3.05,3.56
  └─ Other Borrowings,0.00,0.00,0.01,
Other Liabilities,0.17,101.10,35.63,9.00
  └─ Non controlling int,0.00,11.29,0.00,0.00
  └─ Trade Payables,0.03,60.72,30.79,7.81
  └─ Advance from Customers,0.00,20.30,4.53,
  └─ Other liability items,0.14,8.79,0.31,1.19
Total Liabilities,0.18,144.86,63.14,35.67
Fixed Assets,0.06,13.41,1.12,0.25
  └─ Land,0.06,0.06,0.00,
  └─ Building,0.01,2.18,0.00,
  └─ Plant Machinery,0.00,0.14,0.87,
  └─ Equipments,0.00,0.15,0.04,
  └─ Computers,0.03,0.19,0.05,
  └─ Furniture n fittings,0.00,2.26,0.23,
  └─ Vehicles,1.12,0.00,0.00,
  └─ Intangible Assets,0.00,8.85,0.00,0.12
  └─ Other fixed assets,-0.01,0.37,0.00,
  └─ Gross Block,1.21,14.20,1.19,
  └─ Accumulated Depreciation,1.15,0.80,0.07,
CWIP,0.00,0.00,0.00,0.00
Investments,0.00,1.43,18.02,16.55
Other Assets,0.12,130.02,44.00,18.87
  └─ Inventories,0.00,50.34,17.03,0.28
  └─ Trade receivables,0.00,21.76,14.89,10.77
    └─ Receivables over 6m,1.45,1.89,2.96,
    └─ Receivables under 6m,0.00,21.31,13.38,
    └─ Prov for Doubtful,-1.45,-1.45,-1.45,
  └─ Cash Equivalents,0.09,2.70,0.68,0.02
  └─ Loans n Advances,0.01,34.10,8.32,0.28
  └─ Other asset items,0.02,21.12,3.08,7.52
Total Assets,0.18,144.86,63.14,35.67
