Metric,Mar 2016,Mar 2017,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,5,5,5,5,5,5,5
Reserves,14,19,50,55,71,86,96
Borrowings,21,21,80,66,69,109,103
  └─ Long term Borrowings,4,3,32,19,17,40,33
  └─ Short term Borrowings,17,18,48,47,51,66,67
  └─ Lease Liabilities,0,0,0,0,0,3,2
  └─ Other Borrowings,0,0,,0,0,-0,
Other Liabilities,13,13,66,42,51,59,73
  └─ Non controlling int,0.25,0.20,0.00,0.00,0.00,0.00,0.00
  └─ Trade Payables,7.26,8.81,41.26,24.93,24.85,38.79,46.80
  └─ Advance from Customers,0.63,0.37,,7.59,11.16,5.39,
  └─ Other liability items,4.88,3.92,24.77,9.39,14.60,14.78,25.72
Total Liabilities,53,58,201,168,195,259,277
Fixed Assets,23,23,80,77,73,71,68
  └─ Land,0.27,1.15,,1.55,2.01,2.01,
  └─ Building,4.53,4.53,,20.41,21.30,23.64,
  └─ Plant Machinery,42.40,43.59,,105.22,107.91,91.50,
  └─ Equipments,0.09,0.09,,0.33,0.36,0.50,
  └─ Computers,0.34,0.40,,0.89,0.94,1.07,
  └─ Furniture n fittings,4.90,5.46,,12.61,12.58,12.33,
  └─ Vehicles,1.44,2.44,,3.48,3.60,8.19,
  └─ Other fixed assets,0.72,0.74,,1.87,1.85,1.85,
  └─ Gross Block,54.69,58.40,,146.36,150.55,141.09,
  └─ Accumulated Depreciation,31.68,35.18,,69.49,77.83,70.30,
CWIP,0,1,0,0,6,59,65
Investments,2,2,5,3,2,3,3
Other Assets,29,32,116,88,114,126,140
  └─ Inventories,13,12,49,51,38,66,66
  └─ Trade receivables,12,14,47,26,40,27,36
  └─ Cash Equivalents,2,1,3,1,2,6,2
  └─ Loans n Advances,0,0,2,3,11,13,9
  └─ Other asset items,3,5,15,6,23,13,27
Total Assets,53,58,201,168,195,259,277
