Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,6.88,6.90,6.94,6.96,7.67,15.91
Reserves,15.18,19.23,26.09,55.88,106.95,123.57
Borrowings,3.29,29.20,32.13,34.08,21.47,13.87
  └─ Long term Borrowings,2.84,6.86,22.26,22.25,6.81,0.00
  └─ Short term Borrowings,0.45,22.04,9.65,11.67,11.99,11.08
  └─ Lease Liabilities,0.00,0.30,0.23,0.15,2.67,2.79
  └─ Preference Capital,2.84,0.00,0.00,0.00,0.00,0.00
  └─ Other Borrowings,-2.84,0.00,-0.01,0.01,0.00,
Other Liabilities,8.32,11.20,12.07,13.82,16.26,63.45
  └─ Trade Payables,5,9,9,10,12,8
  └─ Advance from Customers,0,0,0,1,0,
  └─ Other liability items,3,2,2,3,4,56
Total Liabilities,33.67,66.53,77.23,110.74,152.35,216.80
Fixed Assets,6.28,8.51,7.20,7.80,13.27,64.09
  └─ Land,0,0,0,0,0,
  └─ Building,1,2,2,2,3,
  └─ Plant Machinery,9,11,9,10,13,
  └─ Equipments,0,1,1,1,1,
  └─ Furniture n fittings,0,0,0,0,0,
  └─ Vehicles,0,0,0,0,1,
  └─ Intangible Assets,0,1,0,0,0,51
  └─ Other fixed assets,0,0,1,1,3,
  └─ Gross Block,12,15,13,15,21,
  └─ Accumulated Depreciation,5,6,6,7,7,
CWIP,0.70,20.38,24.37,26.67,71.20,45.80
Investments,0.00,0.00,0.00,0.00,0.00,0.00
Other Assets,26.69,37.64,45.66,76.27,67.88,106.91
  └─ Inventories,12.95,16.28,18.30,19.51,19.46,25.76
  └─ Trade receivables,11.27,10.44,16.45,19.32,26.49,21.28
    └─ Receivables over 6m,0.00,0.11,0.08,0.54,1.46,
    └─ Receivables under 6m,12.39,10.33,17.17,19.51,25.77,
    └─ Prov for Doubtful,-1.12,0.00,-0.80,-0.73,-0.73,
  └─ Cash Equivalents,0.64,0.88,1.11,28.84,4.80,19.85
  └─ Loans n Advances,1.11,5.33,5.28,3.83,3.48,7.30
  └─ Other asset items,0.72,4.71,4.52,4.77,13.65,32.72
Total Assets,33.67,66.53,77.23,110.74,152.35,216.80
