Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,7.06,3.00,12.00,12.00,17.97
Reserves,-0.06,0.08,0.28,0.65,8.81
Borrowings,-0.00,14.20,12.20,17.15,23.94
  └─ Long term Borrowings,0.00,7.65,4.68,8.99,10.05
  └─ Short term Borrowings,0.00,6.56,7.53,8.16,13.89
  └─ Other Borrowings,,-0.01,-0.01,0.00,
Other Liabilities,0.48,2.90,7.58,9.12,25.14
  └─ Non controlling int,0.00,2.05,2.79,3.17,4.58
  └─ Trade Payables,0.04,0.24,4.12,4.36,16.26
  └─ Other liability items,0.44,0.61,0.67,1.59,4.30
Total Liabilities,7.48,20.18,32.06,38.92,75.86
Fixed Assets,2.87,5.03,4.48,3.95,15.22
  └─ Building,,0.00,0.42,0.42,
  └─ Plant Machinery,,0.00,5.42,5.42,
  └─ Computers,,0.00,0.07,0.07,
  └─ Furniture n fittings,,0.00,0.01,0.01,
  └─ Vehicles,,0.00,0.00,0.07,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,5.81
  └─ Other fixed assets,,5.03,-0.01,0.00,
  └─ Gross Block,,5.03,5.91,5.99,
  └─ Accumulated Depreciation,,0.00,1.43,2.04,
CWIP,-0.00,-0.00,-0.00,-0.00,-0.00
Investments,2.09,-0.00,1.40,1.40,-0.00
Other Assets,2.52,15.15,26.18,33.57,60.64
  └─ Inventories,0.07,2.71,6.47,8.51,12.94
  └─ Trade receivables,0.00,6.62,14.52,18.76,31.35
  └─ Cash Equivalents,0.04,0.16,0.04,0.12,0.72
  └─ Loans n Advances,1.27,3.48,2.27,0.44,8.39
  └─ Other asset items,1.14,2.18,2.88,5.74,7.24
Total Assets,7.48,20.18,32.06,38.92,75.86
