Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,11,11,11,11,11,11,11,11,11,11,11,55,
Reserves,79,58,33,16,-2,-30,-60,-99,-133,-126,-132,366,
Borrowings,260,275,243,242,237,218,225,255,270,251,242,262,
  └─ Long term Borrowings,232,261,230,230,223,213,212,248,268,249,242,262,
  └─ Short term Borrowings,28,14,0,0,0,0,0,0,0,0,0,0,
  └─ Other Borrowings,0,0,13,12,14,5,14,7,2,2,0,,
Other Liabilities,71,75,98,106,118,140,139,141,184,204,234,230,
  └─ Non controlling int,44,44,44,44,44,44,44,44,44,44,44,0,
  └─ Trade Payables,9,10,9,9,5,5,4,5,6,6,6,6,
  └─ Advance from Customers,1,1,0,0,0,0,0,0,0,0,0,,
  └─ Other liability items,17,20,45,53,68,90,92,92,134,153,184,225,
Total Liabilities,421,419,385,375,364,339,316,307,333,340,355,914,
Fixed Assets,54,341,330,335,319,302,286,280,278,273,269,825,
  └─ Land,9.56,9.71,10.83,11.09,11.09,11.09,10.86,10.80,10.80,10.80,10.80,,
  └─ Building,35.70,176.21,181.38,191.40,192.54,193.06,193.06,190.86,199.75,207.26,209.59,,
  └─ Estates,0.00,3.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
  └─ Plant Machinery,38.09,102.42,104.03,109.08,108.23,99.78,100.31,101.14,107.00,107.64,112.24,,
  └─ Equipments,0.74,0.81,0.81,0.82,0.82,0.82,0.82,0.85,0.85,1.50,1.60,,
  └─ Computers,1.41,18.79,19.09,20.41,20.81,20.84,20.84,23.51,23.63,23.81,23.93,,
  └─ Furniture n fittings,9.31,82.62,83.72,89.21,89.34,89.37,89.37,97.23,97.40,99.38,99.31,,
  └─ Vehicles,6.61,5.60,5.49,5.81,6.32,6.26,5.85,5.00,4.98,4.85,3.37,,
  └─ Other fixed assets,0.01,-0.01,-0.01,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.00,,
  └─ Gross Block,101.43,399.77,405.34,427.82,429.15,421.23,421.12,429.40,444.42,455.24,460.84,,
  └─ Accumulated Depreciation,47.61,58.63,75.63,92.94,109.97,118.77,134.75,149.57,166.02,182.60,191.75,,
CWIP,297,0,-0,-0,1,-0,-0,1,-0,1,1,0,
Investments,3,3,1,1,1,0,0,0,1,1,2,-0,
Other Assets,68,75,55,39,44,36,29,25,54,65,84,89,
  └─ Inventories,11.65,8.60,7.98,7.35,7.80,8.15,6.69,7.01,9.56,9.87,7.99,11.52,
  └─ Trade receivables,4.52,5.31,5.18,6.10,5.93,4.50,2.14,2.72,5.95,5.68,4.17,4.35,
    └─ Receivables over 6m,0.06,0.02,0.17,0.22,0.18,0.19,0.00,0.37,0.37,0.34,0.30,,0.04
    └─ Receivables under 6m,4.46,5.29,5.01,5.89,5.75,4.31,2.14,2.36,5.57,5.34,3.87,,3.76
  └─ Cash Equivalents,25.97,8.79,6.77,6.94,9.54,4.61,1.89,7.66,31.18,23.03,39.23,40.64,
  └─ Loans n Advances,2.91,2.71,1.10,1.12,1.39,1.35,0.97,1.04,1.24,3.84,2.25,1.09,
  └─ Other asset items,22.78,49.56,33.68,17.47,18.89,17.56,17.06,7.00,5.77,22.46,30.12,31.50,
Total Assets,421,419,385,375,364,339,316,307,333,340,355,914,
