Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2026,Mar 2012,Mar 2013
Equity Capital,17,17,17,17,17,17,17,17,17,17,17,21,,
Reserves,102,104,104,114,117,121,125,130,135,151,162,245,,
Borrowings,81,97,128,82,73,286,249,299,466,496,669,57,,
  └─ Long term Borrowings,25.99,30.26,29.73,28.59,28.10,101.41,75.37,32.41,63.81,177.46,264.75,13.92,,
  └─ Short term Borrowings,51.85,61.12,92.55,50.75,41.88,145.28,153.11,266.17,402.24,318.84,403.98,42.83,,
  └─ Other Borrowings,3.54,5.45,5.51,2.63,2.86,39.08,20.83,0.00,0.00,0.00,,,,
Other Liabilities,378,393,430,219,220,212,266,277,276,334,376,45,,
  └─ Non controlling int,20.39,21.31,18.81,8.05,8.40,8.54,8.86,8.76,9.12,11.91,13.26,0.01,,
  └─ Trade Payables,45.43,41.35,47.45,26.42,15.33,14.66,14.40,23.97,17.63,18.48,22.10,8.54,,
  └─ Advance from Customers,233.80,253.18,269.57,152.48,159.30,161.63,212.54,213.35,203.24,200.45,,,,
  └─ Other liability items,78.07,77.40,93.72,31.56,37.08,26.72,30.17,30.55,46.30,103.53,340.51,36.94,,
Total Liabilities,578,611,679,432,428,635,658,723,895,999,1224,369,,
Fixed Assets,7,8,9,7,3,1,1,0,1,1,63,0,,
  └─ Land,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,,,
  └─ Building,3.77,4.28,4.28,4.28,0.00,0.00,0.00,0.00,0.00,0.00,,,,
  └─ Plant Machinery,3.08,3.21,3.23,1.49,1.53,1.02,1.04,1.06,1.08,1.09,,,,
  └─ Computers,0.44,0.45,0.48,0.35,0.37,0.17,0.17,0.18,0.18,0.21,,,,
  └─ Furniture n fittings,0.34,0.34,0.35,0.21,0.23,0.12,0.12,0.12,0.12,0.12,,,,
  └─ Vehicles,2.61,3.13,5.52,5.47,4.30,1.57,1.45,1.32,1.62,1.54,,,,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,,
  └─ Other fixed assets,0.17,0.15,0.15,0.14,0.16,0.04,1.04,0.05,0.06,0.06,,,,
  └─ Gross Block,10.46,11.61,14.06,11.99,6.64,2.97,3.87,2.78,3.11,3.07,,,,
  └─ Accumulated Depreciation,3.59,4.01,4.91,4.92,3.82,2.09,2.76,2.30,2.44,2.54,,,,
CWIP,0,0,0,0,0,0,0,0,0,0,128,0,,
Investments,0,9,10,40,26,15,15,16,20,14,12,0,,
Other Assets,571,594,660,385,398,619,642,706,874,985,1021,368,,
  └─ Inventories,409,419,448,279,288,516,556,598,762,651,781,119,,
  └─ Trade receivables,41,49,59,36,35,22,15,9,8,29,42,61,,
    └─ Receivables over 6m,0.45,1.00,7.23,0.00,0.00,0.00,0.00,6.25,5.34,6.90,,,0.36,2.21
    └─ Receivables under 6m,40.27,47.62,52.20,35.75,35.04,21.79,14.70,2.84,2.43,22.29,,,31.11,48.88
  └─ Cash Equivalents,14,7,8,5,7,9,5,6,8,15,14,9,,
  └─ Loans n Advances,13,23,27,7,8,5,9,54,54,188,85,133,,
  └─ Other asset items,94,97,118,58,60,67,57,40,43,102,99,46,,
Total Assets,578,611,679,432,428,635,658,723,895,999,1224,369,,
