Metric,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023
Equity Capital,16.20,16.20,16.20,16.20,16.20,16.20,16.20,16.20,16.20,16.20,16.20,16.20
Reserves,6.04,6.04,6.03,13.81,6.97,0.51,0.96,0.32,-0.50,-0.74,38.28,14.23
Borrowings,12.01,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.13,0.12,0.15,0.16
  └─ Long term Borrowings,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.13,0.00,0.00,0.00
  └─ Short term Borrowings,12.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other Borrowings,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.15,0.16
Other Liabilities,0.02,0.02,0.03,0.07,0.03,0.03,0.01,0.05,0.05,0.06,0.07,0.06
  └─ Non controlling int,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.04,0.05,0.04
  └─ Other liability items,0.02,0.02,0.03,0.07,0.03,0.03,0.01,0.01,0.01,0.02,0.02,0.02
Total Liabilities,34.27,22.26,22.26,30.08,23.20,16.74,17.17,16.59,15.88,15.64,54.70,30.65
Fixed Assets,5.88,5.88,5.88,13.75,6.88,0.02,0.02,0.02,0.02,0.02,0.02,0.02
  └─ Intangible Assets,5.88,5.88,5.88,13.75,6.88,0.02,0.02,0.02,0.02,0.02,0.02,0.02
  └─ Other fixed assets,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Gross Block,5.88,5.88,5.88,13.76,6.88,0.02,0.02,0.02,0.02,0.02,0.02,0.02
CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Investments,28.08,14.82,15.72,15.73,15.93,16.49,16.96,16.46,15.69,15.53,54.57,29.35
Other Assets,0.31,1.56,0.66,0.60,0.39,0.23,0.19,0.11,0.17,0.09,0.11,1.28
  └─ Trade receivables,0.00,0.00,0.00,0.08,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Cash Equivalents,0.24,0.22,0.31,0.41,0.28,0.14,0.14,0.10,0.15,0.07,0.10,0.17
  └─ Loans n Advances,0.07,1.33,0.01,0.09,0.08,0.09,0.03,0.01,0.00,0.00,0.00,0.00
  └─ Other asset items,0.00,0.01,0.34,0.02,0.01,0.00,0.02,0.00,0.02,0.02,0.01,1.11
Total Assets,34.27,22.26,22.26,30.08,23.20,16.74,17.17,16.59,15.88,15.64,54.70,30.65
