Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,33,33,33,33,33,34,35,35,35,35,35,35,
Reserves,394,471,804,1174,1358,1621,1901,2145,3497,3859,4596,6020,
Borrowings,218,188,286,304,239,253,734,835,1924,2665,4606,4150,
  └─ Long term Borrowings,132,109,77,62,57,48,112,64,978,1432,2353,347,
  └─ Short term Borrowings,63,46,177,220,130,167,304,318,17,231,531,2070,
  └─ Lease Liabilities,0,0,0,0,0,0,318,453,929,1002,1722,1733,
  └─ Other Borrowings,24,33,32,22,52,38,0,0,-0,0,0,,
Other Liabilities,291,206,871,703,715,982,371,946,1613,1369,1843,4286,
  └─ Non controlling int,26,39,29,70,75,91,109,83,514,568,1091,2729,
  └─ Trade Payables,192,77,678,379,485,402,75,675,871,435,444,707,
  └─ Advance from Customers,10,10,15,17,16,20,25,23,34,42,47,,
  └─ Other liability items,62,80,149,237,139,470,162,166,193,325,261,849,
Total Liabilities,937,899,1994,2214,2345,2890,3042,3961,7069,7929,11080,14491,
Fixed Assets,454,472,748,1282,1329,1699,1711,2376,3661,4139,5086,6363,
  └─ Land,20.18,20.18,313.15,313.15,313.15,661.66,667.56,804.67,1462.53,1557.28,2348.46,,
  └─ Building,67.67,68.46,56.21,117.10,131.26,136.14,136.44,172.32,196.53,215.58,229.07,,
  └─ Plant Machinery,537.16,576.18,378.27,879.38,960.31,1049.85,1131.14,1704.08,2435.57,2926.54,3235.70,,
  └─ Equipments,8.52,8.89,1.96,3.03,3.88,4.53,5.02,6.89,8.40,10.58,12.32,,
  └─ Furniture n fittings,10.50,10.80,7.04,10.29,11.10,11.10,11.79,12.92,17.93,19.21,20.34,,
  └─ Vehicles,4.11,4.66,2.74,3.85,3.70,3.50,3.82,4.19,5.61,10.05,10.43,,
  └─ Intangible Assets,13.71,13.71,1.25,1.25,1.25,1.25,1.25,1.25,14.83,14.83,14.83,18.35,
  └─ Other fixed assets,5.89,5.96,1.00,1.96,2.02,2.24,2.31,2.63,3.74,4.07,4.54,,
  └─ Gross Block,667.74,708.84,761.62,1330.01,1426.67,1870.27,1959.33,2708.95,4145.14,4758.14,5875.69,,
  └─ Accumulated Depreciation,213.88,237.10,13.32,47.63,97.93,171.56,248.60,333.14,483.98,618.87,789.48,,
CWIP,34,73,313,126,121,220,488,253,412,697,1308,764,
Investments,21,0,0,0,10,7,0,0,204,194,0,1745,
Other Assets,428,354,933,806,885,964,844,1333,2792,2899,4686,5619,
  └─ Inventories,20,12,22,26,34,42,52,91,147,64,185,129,
  └─ Trade receivables,201,97,706,347,229,454,94,738,839,513,693,481,
    └─ Receivables over 6m,23,22,15,0,0,0,0,0,48,68,90,,12
    └─ Receivables under 6m,179,76,692,348,231,458,98,741,794,449,606,,194
    └─ Prov for Doubtful,-1,-1,-1,-1,-2,-4,-3,-2,-3,-3,-3,,-1
  └─ Cash Equivalents,105,97,62,162,413,263,336,150,1265,1775,3191,4195,
  └─ Loans n Advances,5,17,11,18,20,11,19,73,17,29,36,78,
  └─ Other asset items,96,131,132,253,190,193,343,281,524,518,581,737,
Total Assets,937,899,1994,2214,2345,2890,3042,3961,7069,7929,11080,14491,
