Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,24,24,26,26,27,27,28,28,28
Reserves,6,48,204,333,1151,1438,2470,2918,3624
Borrowings,0,9,68,119,149,106,183,82,15
  └─ Long term Borrowings,0.00,6.92,28.06,89.32,89.13,52.08,72.58,10.66,1.91
  └─ Short term Borrowings,0.00,2.08,35.72,27.52,59.31,51.02,105.16,66.56,9.98
  └─ Lease Liabilities,0.00,0.00,3.72,1.89,0.21,2.54,4.89,4.88,2.92
  └─ Other Borrowings,0.00,0.00,0.00,0.00,-0.01,-0.01,0.00,0.00,
Other Liabilities,46,77,105,275,497,437,592,583,754
  └─ Non controlling int,0,0,0,0,1,2,0,0,0
  └─ Trade Payables,27,52,75,126,256,252,383,408,594
  └─ Other liability items,19,25,30,149,240,183,209,175,161
Total Liabilities,76,158,402,753,1824,2008,3273,3612,4421
Fixed Assets,27,57,163,361,699,786,1144,1221,1525
  └─ Building,0,0,0,0,0,4,0,0,
  └─ Equipments,0,0,0,0,0,1,11,10,
  └─ Computers,0,1,2,2,4,6,7,9,
  └─ Furniture n fittings,0,0,0,0,0,0,0,0,
  └─ Vehicles,0,0,0,1,1,1,2,2,
  └─ Intangible Assets,6,33,111,315,616,664,983,1009,1517
  └─ Other fixed assets,71,86,130,138,207,299,402,551,
  └─ Gross Block,77,120,243,456,829,975,1405,1580,
  └─ Accumulated Depreciation,50,63,80,96,130,189,261,359,
CWIP,0,2,5,40,42,49,98,111,0
Investments,0,0,0,76,135,0,37,63,114
Other Assets,49,99,234,276,948,1174,1993,2216,2783
  └─ Trade receivables,17,48,74,108,235,245,317,299,386
    └─ Receivables over 6m,0,0,0,0,17,27,44,51,
    └─ Receivables under 6m,19,51,81,117,227,229,290,269,
    └─ Prov for Doubtful,-3,-4,-7,-9,-10,-10,-17,-21,
  └─ Cash Equivalents,19,30,126,63,605,646,1237,1392,1294
  └─ Loans n Advances,3,2,3,3,6,5,28,17,107
  └─ Other asset items,10,19,31,102,102,278,411,509,996
Total Assets,76,158,402,753,1824,2008,3273,3612,4421
