Metric,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Equity Capital,10,10,10,10,10,10,10,10,10,10,10,10
Reserves,56,64,75,88,106,140,174,199,246,299,369,526
Borrowings,133,114,120,123,146,151,135,111,120,181,165,87
  └─ Long term Borrowings,,,54,52,60,0,0,0,0,0,0,0
  └─ Short term Borrowings,,,55,58,73,0,0,0,0,0,0,0
  └─ Other Borrowings,133,114,11,13,13,151,135,111,120,181,165,87
Other Liabilities,54,51,52,60,78,98,93,95,147,159,218,160
  └─ Trade Payables,0,0,22,25,38,49,39,44,81,67,124,71
  └─ Advance from Customers,0,0,0,0,0,0,0,0,0,1,4,2
  └─ Other liability items,54,51,31,35,40,48,54,52,65,90,90,87
Total Liabilities,254,238,258,282,341,398,412,416,522,649,763,783
Fixed Assets,103,98,98,122,126,155,151,187,220,355,376,423
  └─ Land,3,3,3,3,3,14,14,15,14,20,30,31
  └─ Building,20,21,25,28,32,32,35,39,28,43,47,53
  └─ Plant Machinery,135,139,139,168,177,202,206,248,182,302,329,386
  └─ Equipments,4,4,3,3,3,3,3,3,1,2,2,3
  └─ Furniture n fittings,6,6,8,9,10,10,10,11,5,15,15,20
  └─ Vehicles,1,1,2,2,2,2,2,2,1,1,1,2
  └─ Intangible Assets,0,0,0,0,0,0,0,1,0,0,0,0
  └─ Other fixed assets,0,0,0,0,0,1,2,2,1,1,1,2
  └─ Gross Block,170,175,180,213,227,265,273,321,233,385,428,497
  └─ Accumulated Depreciation,68,76,82,91,101,110,122,134,13,29,52,74
CWIP,7,14,23,6,9,3,31,16,35,18,43,45
Investments,4,6,10,10,10,10,10,10,12,13,16,0
Other Assets,139,121,126,144,195,230,220,203,256,262,328,315
  └─ Inventories,73,56,52,50,73,83,71,63,111,85,106,84
  └─ Trade receivables,38,39,47,60,76,90,99,90,97,124,153,164
  └─ Cash Equivalents,5,3,1,11,15,24,9,6,3,3,20,32
  └─ Loans n Advances,5,5,3,6,7,8,9,16,2,3,7,4
  └─ Other asset items,19,17,23,17,24,26,32,27,42,47,42,31
Total Assets,254,238,258,282,341,398,412,416,522,649,763,783
