Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.51,0.51,0.47,0.48,17,108
Reserves,40,322,644,-378,-382,1649
Borrowings,11,0,0,906,911,31
  └─ Lease Liabilities,0.00,0.00,0.00,31.48,36.19,30.98
  └─ Preference Capital,10.85,0.00,0.00,874.81,874.81,0.00
Other Liabilities,88,620,772,780,879,565
  └─ Trade Payables,40,96,136,184,198,233
  └─ Advance from Customers,0,0,0,1,3,
  └─ Other liability items,48,524,635,595,678,333
Total Liabilities,140,942,1416,1308,1425,2353
Fixed Assets,4,7,38,52,92,94
  └─ Building,3.67,2.94,30.54,51.84,62.59,
  └─ Plant Machinery,24.96,2.59,4.74,5.22,5.69,
  └─ Equipments,1.31,0.22,0.69,0.90,1.38,
  └─ Computers,4.91,6.49,14.14,16.96,20.07,
  └─ Furniture n fittings,0.95,0.62,2.44,3.01,3.13,
  └─ Intangible Assets,0.00,0.00,0.00,13.26,54.57,39.99
  └─ Other fixed assets,2.06,0.51,0.57,3.30,3.30,
  └─ Gross Block,37.86,13.37,53.12,94.49,150.73,
  └─ Accumulated Depreciation,33.97,5.93,14.84,42.02,59.20,
CWIP,0,0,8,0,0,0
Investments,0,0,264,63,266,229
Other Assets,135,935,1106,1193,1068,2030
  └─ Inventories,0,0,0,0,0,0
  └─ Trade receivables,54,161,204,242,281,405
  └─ Cash Equivalents,44,704,741,581,492,1218
  └─ Loans n Advances,3,8,0,24,27,7
  └─ Other asset items,34,61,161,346,268,400
Total Assets,140,942,1416,1308,1425,2353
