Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2025,Mar 2026
Equity Capital,0.01,0.01,0.01,6.06,6.06
Reserves,1.77,2.90,4.92,18.99,27.49
Borrowings,0.90,0.49,1.28,0.00,0.00
  └─ Long term Borrowings,0.49,0.28,0.08,0.00,0.00
  └─ Short term Borrowings,0.40,0.21,1.20,0.00,0.00
  └─ Other Borrowings,0.01,0.00,0.00,0.00,
Other Liabilities,5.47,4.89,4.83,18.35,23.82
  └─ Trade Payables,0.13,0.12,0.16,0.32,0.48
  └─ Other liability items,5.34,4.77,4.67,18.03,23.34
Total Liabilities,8.15,8.29,11.04,43.40,57.37
Fixed Assets,3.17,2.91,2.67,9.93,19.68
  └─ Building,0.00,0.00,0.00,1.75,
  └─ Equipments,0.56,0.62,0.65,1.22,
  └─ Computers,0.55,0.58,0.77,1.35,
  └─ Furniture n fittings,6.60,6.83,6.91,12.95,
  └─ Vehicles,0.02,0.02,0.02,0.02,
  └─ Intangible Assets,0.00,0.00,0.00,3.25,10.08
  └─ Other fixed assets,0.01,0.00,0.00,0.00,
  └─ Gross Block,7.74,8.05,8.35,20.54,
  └─ Accumulated Depreciation,4.57,5.15,5.68,10.61,
CWIP,0.00,0.00,0.00,2.54,3.37
Investments,0.00,0.00,0.00,9.79,9.86
Other Assets,4.98,5.38,8.37,21.14,24.46
  └─ Trade receivables,1.63,0.72,0.00,0.77,7.23
  └─ Cash Equivalents,0.37,0.54,3.09,8.27,5.05
  └─ Loans n Advances,1.26,0.65,0.93,0.91,2.41
  └─ Other asset items,1.72,3.47,4.35,11.19,9.77
Total Assets,8.15,8.29,11.04,43.40,57.37
