Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Jun 2024
Equity Capital,5,5,5,16,16,16,
Reserves,12,15,20,43,47,46,
Borrowings,23,28,33,26,53,73,
  └─ Long term Borrowings,12,12,12,9,40,55,9
  └─ Short term Borrowings,11,15,21,17,14,19,17
  └─ Other Borrowings,0,0,0,0,-0,,
Other Liabilities,6,7,10,5,9,13,
  └─ Trade Payables,3.53,3.52,6.20,1.75,5.63,7.30,1.75
  └─ Advance from Customers,0.00,0.47,0.18,0.03,0.10,,
  └─ Other liability items,2.56,3.06,4.07,3.46,3.22,5.28,5.35
Total Liabilities,46,55,68,90,126,148,
Fixed Assets,21,20,21,32,33,93,
  └─ Land,0.00,0.00,0.00,11.96,14.30,,
  └─ Building,6.76,6.76,7.62,7.80,7.80,,
  └─ Plant Machinery,19.19,19.27,19.90,19.94,19.94,,
  └─ Computers,0.05,0.07,0.08,0.13,0.15,,
  └─ Furniture n fittings,0.02,0.02,0.03,0.29,0.33,,
  └─ Vehicles,0.14,0.27,1.49,1.64,1.86,,
  └─ Intangible Assets,0.00,0.00,0.00,0.04,0.04,0.03,0.04
  └─ Other fixed assets,0.01,0.00,0.01,0.00,-0.01,,
  └─ Gross Block,26.17,26.39,29.13,41.80,44.41,,
  └─ Accumulated Depreciation,5.15,6.31,7.94,9.72,11.58,,
CWIP,0,0,1,9,52,15,
Investments,8,4,3,20,0,0,
Other Assets,17,30,44,29,41,39,
  └─ Inventories,5.11,16.88,24.47,13.81,14.71,13.18,13.81
  └─ Trade receivables,9.94,9.66,11.94,9.92,15.64,9.89,9.92
    └─ Receivables over 6m,2.41,2.98,0.85,0.97,0.55,,
    └─ Receivables under 6m,7.53,6.68,11.09,8.95,15.09,,
  └─ Cash Equivalents,0.09,1.19,4.38,0.12,0.19,0.25,0.12
  └─ Loans n Advances,0.75,0.82,1.44,3.57,4.01,15.01,6.29
  └─ Other asset items,1.04,1.64,1.30,1.70,6.73,1.15,0.83
Total Assets,46,55,68,90,126,148,
