Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,0.75,0.75,0.75,18,24,24
Reserves,5,9,18,18,82,95
Borrowings,9,11,24,50,65,77
  └─ Long term Borrowings,3,1,11,15,16,17
  └─ Short term Borrowings,6,8,12,34,48,60
  └─ Lease Liabilities,0,1,1,1,1,1
  └─ Other Borrowings,0,0,0,0,0,
Other Liabilities,20,24,23,30,46,71
  └─ Trade Payables,16.17,15.43,18.83,23.45,36.88,49.09
  └─ Advance from Customers,0.25,0.30,0.12,0.25,0.45,
  └─ Other liability items,3.51,8.36,4.03,5.84,8.82,22.38
Total Liabilities,35,45,66,116,218,268
Fixed Assets,11,12,25,35,48,55
  └─ Land,0.00,0.00,12.56,12.56,15.18,
  └─ Building,0.48,0.48,0.48,2.06,2.65,
  └─ Plant Machinery,7.57,10.29,11.55,22.25,35.00,
  └─ Equipments,0.19,0.34,0.52,0.78,1.18,
  └─ Computers,1.26,1.60,2.38,2.81,3.33,
  └─ Furniture n fittings,0.31,0.38,0.48,1.94,2.38,
  └─ Vehicles,1.72,1.77,2.03,1.96,2.00,
  └─ Intangible Assets,0.00,0.00,0.00,0.12,0.12,0.12
  └─ Other fixed assets,0.49,1.58,1.96,1.85,1.84,
  └─ Gross Block,12.02,16.44,31.96,46.33,63.68,
  └─ Accumulated Depreciation,1.46,4.48,6.81,10.88,15.86,
CWIP,0,0,0,0,0,0
Investments,0,0,1,1,1,1
Other Assets,24,33,40,79,169,212
  └─ Inventories,0,1,5,20,46,46
  └─ Trade receivables,21,25,29,46,75,116
  └─ Cash Equivalents,1,1,1,5,23,9
  └─ Loans n Advances,1,4,1,2,10,2
  └─ Other asset items,1,2,3,6,15,39
Total Assets,35,45,66,116,218,268
