Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,61,61,61,62,62,62,61,61,61,62,67,67
Reserves,1296,1511,1625,1712,2010,2334,2406,2672,3021,3565,6312,9470
Borrowings,9,10,25,22,14,35,83,490,562,726,1070,728
  └─ Long term Borrowings,5,6,21,18,10,5,0,336,338,340,7,117
  └─ Short term Borrowings,0,0,0,0,0,0,1,18,0,97,694,283
  └─ Lease Liabilities,0,0,0,0,0,0,82,135,224,289,370,328
  └─ Other Borrowings,4,4,4,5,4,30,0,0,0,0,0,
Other Liabilities,611,702,695,828,748,968,935,1655,1980,1708,4823,4616
  └─ Non controlling int,19,19,24,22,8,0,0,98,87,100,1950,143
  └─ Trade Payables,213,119,119,145,165,263,340,616,648,806,988,1775
  └─ Advance from Customers,1,1,2,0,0,4,6,2,0,0,0,
  └─ Other liability items,377,563,550,660,576,701,590,939,1245,802,1885,2698
Total Liabilities,1977,2285,2407,2624,2834,3400,3484,4878,5625,6061,12272,14881
Fixed Assets,558,903,848,879,819,1079,1021,2067,2312,2353,6096,6760
  └─ Land,30,27,27,27,27,27,30,40,41,40,27,
  └─ Building,148,233,238,240,242,323,305,397,505,564,673,
  └─ Plant Machinery,106,221,120,127,127,129,130,135,94,95,361,
  └─ Equipments,23,17,18,21,16,18,18,20,21,24,23,
  └─ Computers,391,114,283,298,356,416,377,405,453,583,838,
  └─ Furniture n fittings,52,52,53,56,58,64,63,67,68,71,80,
  └─ Vehicles,22,24,29,34,36,39,41,42,59,94,114,
  └─ Intangible Assets,162,227,209,275,277,466,480,1130,1226,1234,4006,5511
  └─ Other fixed assets,-0,109,109,176,138,212,229,556,631,602,1500,
  └─ Gross Block,934,1026,1088,1254,1278,1695,1673,2793,3098,3306,7620,
  └─ Accumulated Depreciation,376,123,240,375,460,615,652,726,786,953,1524,
CWIP,120,17,0,1,1,0,0,17,5,23,2,3
Investments,55,75,316,365,365,14,12,0,0,0,146,0
Other Assets,1243,1291,1244,1379,1649,2307,2451,2794,3309,3685,6028,8119
  └─ Inventories,9,0,0,0,0,0,0,0,0,0,0,0
  └─ Trade receivables,606,590,468,586,588,856,1068,1389,1613,1804,2577,3970
  └─ Cash Equivalents,269,336,408,418,558,903,812,454,579,335,883,1099
  └─ Loans n Advances,112,74,133,123,89,90,58,78,109,111,165,946
  └─ Other asset items,247,291,234,252,415,457,512,873,1008,1434,2402,2104
Total Assets,1977,2285,2407,2624,2834,3400,3484,4878,5625,6061,12272,14881
