Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,10,10,12,13,13,13,16,16,16,16,16,21,
Reserves,28,18,10,9,7,-27,-27,-27,-21,-20,-32,-28,
Borrowings,35,40,31,28,30,23,21,20,10,10,12,10,
  └─ Long term Borrowings,22.81,26.93,22.29,24.24,26.84,9.00,7.32,8.63,9.89,8.15,10.69,8.89,
  └─ Short term Borrowings,11.78,13.22,4.72,2.63,3.33,13.85,13.32,10.99,0.50,2.25,1.49,1.24,
  └─ Other Borrowings,0.00,0.09,3.76,1.25,0.00,-0.01,0.00,-0.01,0.01,0.00,0.00,,
Other Liabilities,28,20,22,21,17,19,18,24,31,37,50,43,
  └─ Non controlling int,0.00,0.00,0.00,0.00,-0.02,-0.02,0.03,0.62,6.66,8.65,10.09,12.29,
  └─ Trade Payables,23.32,6.01,5.86,8.78,8.30,14.53,15.27,21.27,22.08,25.28,32.63,25.65,
  └─ Advance from Customers,0.19,8.01,9.96,6.36,3.87,0.25,0.32,0.28,0.35,0.53,0.64,,
  └─ Other liability items,4.21,6.05,6.32,5.68,4.74,4.18,2.62,1.97,2.23,2.65,6.81,4.69,
Total Liabilities,101,89,74,71,67,27,27,33,36,43,46,45,
Fixed Assets,30,32,32,28,28,3,3,4,3,4,4,5,
  └─ Land,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,,
  └─ Building,3.94,3.92,2.71,2.71,2.71,2.51,2.51,2.51,2.51,3.00,3.05,,
  └─ Equipments,0.52,0.00,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,,
  └─ Computers,9.63,9.65,-0.03,0.78,0.78,0.35,0.38,0.18,0.20,0.24,0.28,,
  └─ Furniture n fittings,9.62,10.26,0.11,0.98,0.54,0.18,0.19,0.15,0.15,0.19,0.27,,
  └─ Vehicles,3.45,3.44,0.28,0.28,0.19,0.07,0.07,0.07,0.23,0.39,0.39,,
  └─ Intangible Assets,48.35,55.69,17.79,16.93,7.59,0.00,0.00,0.01,0.01,0.01,0.01,0.91,
  └─ Other fixed assets,3.29,3.28,11.76,24.99,37.69,1.37,1.36,0.97,1.04,1.00,1.02,,
  └─ Gross Block,79.20,86.64,33.08,47.13,49.97,4.95,4.98,4.36,4.61,5.30,5.49,,
  └─ Accumulated Depreciation,49.31,54.40,1.08,19.36,22.22,1.57,1.81,0.79,1.18,1.59,1.86,,
CWIP,0,0,0,0,0,1,1,0,0,0,0,0,
Investments,12,8,8,8,9,1,1,1,1,3,3,3,
Other Assets,59,48,34,35,31,23,22,28,32,36,39,37,
  └─ Inventories,6.46,6.75,3.15,2.22,2.25,0.03,0.02,0.02,0.01,0.01,0.01,0.01,
  └─ Trade receivables,29.32,20.85,12.11,12.71,10.73,8.77,8.93,12.58,17.48,26.70,30.03,29.05,
    └─ Receivables over 6m,14.19,8.37,0.00,0.00,0.00,8.51,0.00,0.00,4.43,3.46,4.45,,10.71
    └─ Receivables under 6m,15.13,12.48,16.18,15.41,12.77,0.26,10.38,14.43,14.87,24.60,26.46,,18.07
    └─ Prov for Doubtful,0.00,0.00,-4.07,-2.70,-2.04,0.00,-1.45,-1.85,-1.83,-1.36,-0.87,,0.00
  └─ Cash Equivalents,5.64,1.85,1.80,2.51,2.08,2.03,3.00,5.89,8.39,4.40,4.41,3.75,
  └─ Loans n Advances,0.31,0.00,3.98,4.28,3.09,3.85,2.34,2.65,3.07,2.25,1.36,0.11,
  └─ Other asset items,16.96,18.68,12.89,12.99,12.57,8.01,8.03,7.09,3.03,3.12,3.54,4.12,
Total Assets,101,89,74,71,67,27,27,33,36,43,46,45,
