Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,184,184,184,184,175,175,175,177,178,178,178,178,
Reserves,1105,1214,1410,1745,1652,1503,1648,1705,1770,2043,2046,2251,
Borrowings,124,137,81,45,51,345,248,199,213,253,283,262,
  └─ Long term Borrowings,51,27,0,0,0,0,0,0,0,0,0,0,
  └─ Short term Borrowings,48,87,56,45,51,168,56,23,32,23,58,21,
  └─ Lease Liabilities,0,0,0,0,0,176,191,176,180,231,225,241,
  └─ Other Borrowings,25,24,25,-0,0,0,0,0,0,0,0,,
Other Liabilities,493,417,409,481,516,463,405,456,418,518,547,506,
  └─ Trade Payables,121,118,209,259,296,277,183,240,214,236,242,184,
  └─ Advance from Customers,51,35,26,27,28,33,28,22,25,34,30,,
  └─ Other liability items,320,264,173,195,193,153,194,194,180,248,274,322,
Total Liabilities,1905,1951,2084,2455,2394,2486,2476,2537,2579,2993,3055,3197,
Fixed Assets,816,867,910,1002,986,1221,1202,1154,1073,1059,997,1104,
  └─ Land,11,23,23,23,7,76,116,160,161,167,170,,
  └─ Building,209,216,188,213,228,519,551,529,548,627,642,,
  └─ Plant Machinery,778,799,827,914,941,989,991,986,984,991,988,,
  └─ Equipments,28,31,33,38,41,42,43,43,44,46,49,,
  └─ Computers,58,61,66,80,84,85,87,90,92,95,101,,
  └─ Furniture n fittings,79,87,123,148,157,159,158,158,158,159,162,,
  └─ Vehicles,4,5,5,8,9,10,11,11,12,13,13,,
  └─ Intangible Assets,5,2,159,159,159,159,159,159,118,118,118,56,
  └─ Other fixed assets,70,147,73,87,111,118,129,136,130,117,106,,
  └─ Gross Block,1242,1371,1497,1670,1736,2157,2243,2272,2248,2334,2349,,
  └─ Accumulated Depreciation,426,504,586,668,750,935,1041,1118,1175,1275,1352,,
CWIP,4,46,21,21,1,1,0,0,1,2,10,3,
Investments,69,71,27,36,37,18,14,14,66,67,69,67,
Other Assets,1016,968,1126,1397,1370,1245,1259,1369,1439,1864,1980,2023,
  └─ Inventories,140,167,199,160,250,253,233,215,214,187,254,215,
  └─ Trade receivables,345,377,418,553,637,631,497,479,466,510,452,464,
    └─ Receivables over 6m,61,77,0,0,0,0,275,0,0,193,162,,52
    └─ Receivables under 6m,314,344,465,605,698,702,303,570,564,422,396,,303
    └─ Prov for Doubtful,-31,-44,-47,-52,-61,-71,-81,-91,-98,-105,-106,,-27
  └─ Cash Equivalents,178,90,175,322,133,135,312,517,147,551,1007,876,
  └─ Loans n Advances,2,28,93,84,69,57,55,39,48,35,54,309,
  └─ Other asset items,351,305,241,278,281,169,162,119,563,581,213,158,
Total Assets,1905,1951,2084,2455,2394,2486,2476,2537,2579,2993,3055,3197,
