Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,356,357,357,357,441,495,495,495,495,495,495,495,
Reserves,27013,23712,24216,34954,33135,33952,34849,35867,37192,38936,42055,44978,
Borrowings,24495,25264,29202,17491,17222,8103,6886,4182,3334,4834,4103,306,
  └─ Long term Borrowings,17630,20329,23255,6239,5614,3890,3295,2189,1050,2439,1672,0,
  └─ Short term Borrowings,3072,2694,3408,8808,9164,2439,3369,1771,2053,2160,2182,45,
  └─ Lease Liabilities,0,0,0,0,0,0,222,222,231,235,249,261,
  └─ Preference Capital,0,0,0,0,0,0,100,0,0,0,0,0,
  └─ Other Borrowings,3794,2242,2539,2444,2444,1773,-100,-0,-0,-0,-0,,
Other Liabilities,14398,12396,10179,7783,15684,13341,11258,10623,11551,14804,21819,29096,
  └─ Non controlling int,175,126,124,49,41,18,20,19,4,1,0,0,
  └─ Trade Payables,1851,1514,1407,1218,1277,1056,1234,1529,1644,1655,2261,1720,
  └─ Advance from Customers,0,0,0,60,104,79,90,0,0,0,0,,
  └─ Other liability items,12373,10756,8648,6457,14262,12187,9914,9075,9903,13148,19558,27376,
Total Liabilities,66262,61729,63954,60585,66483,55890,53488,51167,52572,59069,68472,74875,
Fixed Assets,19619,3943,24640,8082,6322,5187,4856,4862,4785,3880,3502,4117,
  └─ Land,2961,283,299,424,425,717,593,385,384,380,379,,
  └─ Building,15378,1214,1002,744,778,843,807,798,797,801,812,,
  └─ Plant Machinery,2467,1210,1134,509,490,486,487,468,464,477,482,,
  └─ Equipments,58,21,22,16,25,27,25,30,37,42,49,,
  └─ Furniture n fittings,474,71,67,60,66,66,60,60,61,61,66,,
  └─ Vehicles,248,146,83,74,72,74,12,12,11,11,16,,
  └─ Intangible Assets,1206,1018,1011,1009,1009,944,944,944,944,944,944,1065,
  └─ Other fixed assets,258,180,22140,5727,3875,2901,2893,3265,3314,2514,2144,,
  └─ Gross Block,23050,4143,25758,8563,6739,6058,5822,5962,6011,5230,4892,,
  └─ Accumulated Depreciation,3431,199,1118,480,417,871,966,1099,1226,1350,1390,,
CWIP,5901,1779,153,137,103,89,95,81,61,71,86,159,
Investments,623,21310,1209,20832,21005,18566,19746,19779,19481,20138,21336,21692,
Other Assets,40119,34697,37952,31533,39053,32049,28791,26444,28245,34981,43549,48907,
  └─ Inventories,17610,16834,20099,19753,22009,22486,21087,20107,19361,21154,24621,24717,
  └─ Trade receivables,1586,3417,1417,1286,832,720,581,564,549,538,802,847,
    └─ Receivables over 6m,1337,0,0,0,0,0,1485,0,1402,1397,1378,,1244
    └─ Receivables under 6m,400,3687,1693,2026,1650,1638,84,1487,76,82,342,,465
    └─ Prov for Doubtful,-151,-270,-275,-740,-817,-918,-988,-924,-930,-940,-918,,-148
  └─ Cash Equivalents,2748,3381,4099,2278,4855,2420,1407,932,2275,4384,4338,7746,
  └─ Loans n Advances,-149,881,35,-40,816,376,661,402,737,1209,1306,6282,
  └─ Other asset items,18324,10184,12302,8257,10541,6046,5055,4440,5323,7695,12481,9313,
Total Assets,66262,61729,63954,60585,66483,55890,53488,51167,52572,59069,68472,74875,
