Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,11,11,11,11,11,11,11,11,11
Reserves,341,404,449,525,660,696,770,845,937
Borrowings,184,223,210,124,206,175,321,344,291
  └─ Long term Borrowings,45,3,3,2,1,0,30,31,34
  └─ Short term Borrowings,125,208,205,120,205,161,276,299,243
  └─ Lease Liabilities,0,0,0,0,0,14,15,14,14
  └─ Other Borrowings,14,12,2,2,0,0,-0,0,
Other Liabilities,137,169,149,176,234,191,244,276,305
  └─ Non controlling int,0,0,0,0,0,2,3,4,6
  └─ Trade Payables,113,147,120,140,176,138,182,208,228
  └─ Advance from Customers,1,2,2,2,1,0,0,0,
  └─ Other liability items,23,19,27,35,57,52,59,64,71
Total Liabilities,673,808,820,837,1111,1073,1347,1476,1545
Fixed Assets,68,70,74,85,91,97,230,274,268
  └─ Land,4.72,4.72,4.72,5.90,6.55,6.55,12.73,29.63,
  └─ Building,24.22,24.44,32.78,37.27,49.72,66.40,158.19,169.47,
  └─ Plant Machinery,44.47,56.22,63.39,82.14,86.58,89.75,135.01,182.28,
  └─ Equipments,0.44,0.45,0.46,0.46,0.46,0.66,0.70,0.70,
  └─ Computers,0.65,0.83,1.02,1.18,1.57,1.77,2.06,2.30,
  └─ Furniture n fittings,5.74,6.36,8.29,9.25,10.29,12.59,18.37,21.07,
  └─ Vehicles,2.98,2.86,3.31,4.04,6.54,6.77,7.88,7.28,
  └─ Wind turbines,11.82,11.82,11.98,11.98,11.98,11.98,11.98,11.98,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.04,0.57
  └─ Other fixed assets,0.20,0.32,0.34,0.35,0.40,0.47,3.90,3.92,
  └─ Gross Block,95.24,108.02,126.29,152.57,174.09,196.98,350.86,428.67,
  └─ Accumulated Depreciation,26.84,37.82,51.96,67.33,83.50,99.52,120.59,154.90,
CWIP,2,2,14,15,52,88,17,1,6
Investments,3,6,6,5,5,2,0,2,4
Other Assets,599,730,725,733,963,887,1099,1200,1267
  └─ Inventories,283,325,305,334,475,358,487,544,507
  └─ Trade receivables,272,348,360,331,402,428,493,559,628
    └─ Receivables over 6m,0,0,0,0,20,31,33,62,
    └─ Receivables under 6m,272,349,362,334,386,402,468,505,
    └─ Prov for Doubtful,0,-1,-2,-3,-3,-4,-8,-8,
  └─ Cash Equivalents,20,22,6,7,1,1,2,0,0
  └─ Loans n Advances,4,4,4,3,1,7,3,8,5
  └─ Other asset items,21,33,50,57,84,92,114,89,126
Total Assets,673,808,820,837,1111,1073,1347,1476,1545
