Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,3,8,11,11
Reserves,21,26,73,85
Borrowings,22,33,25,30
  └─ Long term Borrowings,9.23,6.00,8.71,7.81
  └─ Short term Borrowings,12.64,26.62,16.27,21.90
Other Liabilities,37,33,30,29
  └─ Trade Payables,24.35,19.56,14.76,11.62
  └─ Advance from Customers,,7.72,7.40,
  └─ Other liability items,12.42,6.09,7.59,17.71
Total Liabilities,82,101,139,155
Fixed Assets,26,25,33,36
  └─ Land,,8.43,8.43,
  └─ Building,,14.95,15.31,
  └─ Plant Machinery,,7.82,15.14,
  └─ Equipments,,0.54,0.75,
  └─ Computers,,0.65,0.85,
  └─ Furniture n fittings,,0.53,1.38,
  └─ Vehicles,,3.30,4.66,
  └─ Intangible Assets,0.09,0.00,0.00,0.43
  └─ Other fixed assets,,0.50,0.98,
  └─ Gross Block,,36.72,47.50,
  └─ Accumulated Depreciation,,11.63,14.50,
CWIP,0,1,7,18
Investments,0,0,0,0
Other Assets,57,74,99,102
  └─ Inventories,50,62,70,76
  └─ Trade receivables,4,8,17,13
    └─ Receivables over 6m,,2.97,3.37,
    └─ Receivables under 6m,,4.75,13.46,
  └─ Cash Equivalents,0,0,4,3
  └─ Loans n Advances,2,2,5,6
  └─ Other asset items,1,2,3,3
Total Assets,82,101,139,155
