Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.05,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
Reserves,-0.04,75.08,84.25,303.91,198.40,327.78,613.72,441.15,535.23,666.25,529.86
Borrowings,0.00,11.50,6.25,2.45,2.58,2.47,2.63,0.00,0.00,0.00,0.00
  └─ Long term Borrowings,0.00,0.00,0.00,2.45,2.58,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Short term Borrowings,0.00,10.00,4.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Preference Capital,0.00,1.50,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other Borrowings,0.00,0.00,0.00,0.00,0.00,2.47,2.63,0.00,0.00,0.00,
Other Liabilities,0.00,4.75,4.80,6.07,6.20,5.94,14.36,6.14,25.06,55.26,40.94
  └─ Trade Payables,0.00,0.41,0.36,0.65,0.90,0.62,0.43,0.29,0.28,0.83,0.83
  └─ Other liability items,0.00,4.34,4.44,5.42,5.30,5.32,13.93,5.85,24.78,54.43,40.11
Total Liabilities,0.01,101.33,105.30,322.43,217.18,346.19,640.71,457.29,570.29,731.51,580.80
Fixed Assets,0.00,11.47,11.34,11.11,11.71,12.00,12.07,12.28,13.83,13.90,15.00
  └─ Land,0.00,1.12,1.12,0.15,0.15,0.15,0.15,0.15,0.15,0.15,
  └─ Building,0.00,8.15,8.61,5.84,6.60,6.67,6.97,7.36,8.53,8.59,
  └─ Plant Machinery,0.00,7.38,8.01,3.28,3.61,4.09,4.44,4.68,5.60,6.61,
  └─ Equipments,0.00,0.05,0.06,0.03,0.04,0.05,0.06,0.12,0.13,0.16,
  └─ Computers,0.00,0.18,0.18,0.04,0.04,0.05,0.09,0.12,0.15,0.16,
  └─ Furniture n fittings,0.00,0.65,0.66,0.26,0.28,0.29,0.29,0.30,0.31,0.14,
  └─ Vehicles,0.00,1.36,1.36,0.74,0.72,0.98,1.06,1.01,0.95,0.96,
  └─ Intangible Assets,0.00,2.25,2.25,0.90,0.00,0.00,0.00,0.90,0.90,0.90,0.98
  └─ Other fixed assets,0.00,0.00,0.01,0.58,1.54,1.60,1.63,0.86,1.00,0.87,
  └─ Gross Block,0.00,21.14,22.26,11.82,12.98,13.88,14.69,15.50,17.72,18.54,
  └─ Accumulated Depreciation,0.00,9.67,10.92,0.70,1.27,1.88,2.62,3.22,3.89,4.64,
CWIP,0.00,0.76,0.50,0.81,0.67,0.68,1.32,2.27,0.83,1.21,0.89
Investments,0.00,35.73,35.73,247.75,135.47,256.49,554.19,383.40,493.12,667.27,535.94
Other Assets,0.01,53.37,57.73,62.76,69.33,77.02,73.13,59.34,62.51,49.13,28.97
  └─ Inventories,0.00,1.35,1.50,2.72,2.51,2.13,3.19,2.50,2.80,1.68,2.23
  └─ Trade receivables,0.00,0.98,1.36,1.64,1.34,0.59,0.15,0.82,0.55,1.02,1.86
    └─ Receivables over 6m,0.00,0.15,0.13,0.00,0.00,0.00,0.12,0.12,0.12,0.14,
    └─ Receivables under 6m,0.00,0.95,1.35,1.76,1.46,0.71,0.15,0.82,0.55,1.02,
    └─ Prov for Doubtful,0.00,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.14,
  └─ Cash Equivalents,0.01,16.86,20.82,22.66,30.92,40.97,26.71,34.57,38.46,34.80,5.65
  └─ Loans n Advances,0.00,0.09,0.14,0.92,1.04,1.61,2.42,2.04,1.94,0.32,13.96
  └─ Other asset items,0.00,34.09,33.91,34.82,33.52,31.72,40.66,19.41,18.76,11.31,5.27
Total Assets,0.01,101.33,105.30,322.43,217.18,346.19,640.71,457.29,570.29,731.51,580.80
