Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Sep 2020,Mar 2014
Equity Capital,30,35,35,37,37,37,37,37,37,37,37,37,,
Reserves,701,514,476,973,1136,873,916,-42,-1636,-1593,-1474,569,,
Borrowings,4264,3825,2199,2312,2220,2041,2123,2748,3791,3675,3628,311,,
  └─ Long term Borrowings,,2728,978,1144,1031,714,417,149,0,0,0,0,664,
  └─ Short term Borrowings,,946,960,959,950,1162,1677,2589,3789,3672,3626,311,1426,
  └─ Lease Liabilities,,0,0,0,0,0,23,10,2,2,2,0,0,
  └─ Other Borrowings,,151,262,209,239,165,6,0,0,0,0,,,
Other Liabilities,1354,1505,1732,1938,2693,2762,2693,2218,1386,1288,1248,1197,,
  └─ Non controlling int,,-18,0,0,0,0,0,0,0,0,0,0,0,
  └─ Trade Payables,,432,661,804,888,1089,1436,985,446,441,451,309,1113,
  └─ Other liability items,,1091,1071,1134,1805,1672,1257,1233,940,847,796,887,1700,
Total Liabilities,6350,5880,4443,5261,6087,5713,5770,4961,3578,3408,3439,2115,,
Fixed Assets,1340,1127,394,419,439,456,392,348,272,223,180,77,,
  └─ Land,,62.56,62.47,62.47,62.47,70.74,64.39,76.32,76.32,76.32,76.32,,,
  └─ Building,,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
  └─ Plant Machinery,,380.08,537.89,612.51,717.07,770.28,827.33,843.95,803.18,803.25,803.42,,,
  └─ Furniture n fittings,,3.27,4.33,6.46,6.81,6.82,6.85,6.86,6.86,6.86,6.86,,,
  └─ Vehicles,,29.24,36.90,38.76,41.04,42.26,49.04,49.41,37.86,37.86,37.86,,,
  └─ Wind turbines,,59.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
  └─ Intangible Assets,,22.20,22.20,22.20,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Other fixed assets,,816.06,0.00,0.00,-0.01,45.36,0.01,0.01,0.01,0.01,0.01,,,
  └─ Gross Block,,1372.81,663.79,742.40,827.46,935.46,947.62,976.55,924.23,924.30,924.47,,,
  └─ Accumulated Depreciation,,245.42,270.12,323.03,388.85,479.05,555.32,628.38,652.57,701.74,744.84,,,
CWIP,1481,1310,30,6,7,17,29,9,9,9,12,6,,
Investments,739,859,978,1198,1201,572,565,546,511,363,363,230,,
Other Assets,2789,2584,3041,3637,4440,4667,4783,4057,2787,2813,2884,1802,,
  └─ Inventories,,155,360,293,357,624,815,634,140,148,139,129,762,
  └─ Trade receivables,,562,755,1134,1460,1279,1519,1168,824,896,878,483,1387,
    └─ Receivables over 6m,33,0,0,0,0,0,177,0,0,476,435,,,245
    └─ Receivables under 6m,559,562,755,1134,1460,1279,1342,1168,824,421,443,,,605
    └─ Prov for Doubtful,0,0,0,0,-0,-0,-0,-0,-0,-0,-0,,,0
  └─ Cash Equivalents,,224,197,247,333,329,289,33,30,41,250,23,284,
  └─ Loans n Advances,,710,800,240,298,252,249,262,250,214,183,87,905,
  └─ Other asset items,,932,930,1723,1991,2184,1912,1961,1543,1513,1435,1081,1456,
Total Assets,6350,5880,4443,5261,6087,5713,5770,4961,3578,3408,3439,2115,,
