Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,10,10,10,10,29,36
Reserves,44,53,65,84,84,192
Borrowings,28,43,47,70,72,104
  └─ Long term Borrowings,5,13,8,8,13,16
  └─ Short term Borrowings,20,30,39,61,59,88
  └─ Lease Liabilities,0,0,0,0,0,0
  └─ Other Borrowings,3,0,0,-0,-0,
Other Liabilities,42,35,19,39,47,45
  └─ Non controlling int,0.00,0.18,0.18,7.02,4.89,0.28
  └─ Trade Payables,17.13,8.87,5.24,14.22,15.43,11.39
  └─ Advance from Customers,2.61,3.74,1.13,0.84,2.65,
  └─ Other liability items,21.84,22.63,12.82,17.31,23.64,33.47
Total Liabilities,124,140,141,203,232,377
Fixed Assets,17,30,14,28,25,83
  └─ Land,0.00,0.00,0.00,0.31,0.31,
  └─ Building,0.00,2.17,1.92,0.00,0.00,
  └─ Plant Machinery,22.74,19.92,18.41,10.94,9.91,
  └─ Equipments,0.16,0.25,0.29,0.51,0.67,
  └─ Computers,0.13,0.17,0.19,0.15,0.27,
  └─ Furniture n fittings,1.06,1.06,1.47,0.92,0.92,
  └─ Vehicles,7.71,7.09,7.09,7.37,6.87,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.05
  └─ Other fixed assets,0.07,15.73,0.62,15.02,13.24,
  └─ Gross Block,31.87,46.39,29.99,35.22,32.19,
  └─ Accumulated Depreciation,15.01,16.64,16.43,7.26,7.52,
CWIP,0,0,0,0,0,1
Investments,18,1,15,0,0,0
Other Assets,89,109,112,175,207,293
  └─ Inventories,41,60,60,70,87,90
  └─ Trade receivables,12,16,22,27,40,65
    └─ Receivables over 6m,0.00,0.00,0.00,3.37,6.36,
    └─ Receivables under 6m,12.28,15.59,22.25,23.87,33.47,
  └─ Cash Equivalents,1,1,0,23,15,14
  └─ Loans n Advances,2,2,1,3,9,16
  └─ Other asset items,32,31,27,51,56,108
Total Assets,124,140,141,203,232,377
