Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,6,13,13,14,14,14,14,14
Reserves,35,63,120,239,312,403,446,520
Borrowings,115,100,96,218,258,390,381,348
  └─ Long term Borrowings,60,54,55,130,98,147,109,101
  └─ Short term Borrowings,46,29,38,77,149,216,241,213
  └─ Lease Liabilities,0,0,1,10,10,27,31,34
  └─ Preference Capital,27,23,19,14,7,0,0,0
  └─ Other Borrowings,-19,-6,-18,-12,-7,0,0,
Other Liabilities,138,159,148,289,311,395,448,500
  └─ Non controlling int,1,1,0,0,0,80,95,84
  └─ Trade Payables,64,75,72,131,115,111,109,147
  └─ Advance from Customers,0,0,0,0,0,0,0,
  └─ Other liability items,73,82,76,158,196,205,244,269
Total Liabilities,294,335,377,759,894,1202,1288,1382
Fixed Assets,85,94,120,245,318,541,593,627
  └─ Land,2,3,23,30,66,71,74,
  └─ Building,26,28,36,122,151,159,189,
  └─ Plant Machinery,50,56,53,94,109,126,151,
  └─ Equipments,3,5,6,34,42,64,77,
  └─ Computers,1,1,1,2,3,5,5,
  └─ Furniture n fittings,4,5,6,7,10,15,19,
  └─ Vehicles,4,5,5,6,6,8,9,
  └─ Wind turbines,3,5,5,5,5,5,5,
  └─ Intangible Assets,6,6,6,6,6,142,142,196
  └─ Other fixed assets,1,1,3,5,5,62,65,
  └─ Gross Block,100,116,145,312,405,658,736,
  └─ Accumulated Depreciation,16,22,25,67,86,117,143,
CWIP,4,10,3,31,3,19,5,4
Investments,0,0,0,0,0,0,0,0
Other Assets,205,231,254,483,573,641,690,751
  └─ Inventories,131,153,148,268,268,312,370,356
  └─ Trade receivables,33,44,69,148,243,237,185,270
  └─ Cash Equivalents,18,10,21,39,16,45,52,58
  └─ Loans n Advances,8,7,7,9,16,20,21,8
  └─ Other asset items,14,17,10,19,30,27,62,58
Total Assets,294,335,377,759,894,1202,1288,1382
