Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,3,3,3,8,10,10,11,11,17,19
Reserves,4,5,6,2,5,6,18,18,35,47
Borrowings,1,7,10,10,10,17,14,26,27,38
  └─ Long term Borrowings,0.64,2.64,4.61,5.28,2.18,4.37,1.42,7.10,2.52,1.85
  └─ Short term Borrowings,0.40,2.86,3.06,2.25,5.26,8.96,8.43,10.61,18.17,30.14
  └─ Lease Liabilities,0.00,0.00,0.00,0.00,1.62,3.78,4.54,8.76,5.98,6.11
  └─ Other Borrowings,0.06,1.85,2.82,2.83,0.62,0.00,0.00,0.00,0.01,
Other Liabilities,2,7,9,14,11,10,5,13,14,24
  └─ Trade Payables,2.02,6.41,7.89,13.41,10.41,8.98,3.13,11.98,10.43,19.66
  └─ Advance from Customers,0.00,0.01,0.14,0.02,0.00,0.09,0.01,0.08,0.00,
  └─ Other liability items,0.21,0.58,0.87,0.77,0.58,0.90,1.62,1.34,3.33,4.55
Total Liabilities,10,22,28,35,36,43,48,70,93,128
Fixed Assets,1,1,1,1,3,5,6,10,7,7
  └─ Building,0.10,0.10,0.10,0.00,2.64,5.21,5.58,0.00,0.19,
  └─ Plant Machinery,0.17,0.45,0.61,0.49,1.03,1.26,1.22,1.03,1.03,
  └─ Equipments,0.08,0.31,0.36,0.00,0.43,0.69,0.70,0.75,0.82,
  └─ Computers,0.10,0.17,0.19,0.20,0.21,0.24,0.26,0.31,0.33,
  └─ Furniture n fittings,0.09,0.37,0.58,0.69,0.70,0.96,1.20,2.00,2.30,
  └─ Vehicles,0.26,0.45,0.48,0.48,0.48,0.55,1.02,1.02,1.11,
  └─ Intangible Assets,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.07
  └─ Other fixed assets,-0.01,0.05,0.05,0.06,0.05,0.07,0.11,10.60,8.83,
  └─ Gross Block,0.80,1.91,2.38,1.93,5.55,8.99,10.10,15.71,14.61,
  └─ Accumulated Depreciation,0.18,0.50,0.94,0.73,2.40,3.56,3.65,5.81,7.30,
CWIP,0,0,0,0,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,0,0,0
Other Assets,9,20,26,33,32,37,42,60,85,121
  └─ Inventories,4,12,18,23,22,20,25,28,42,70
  └─ Trade receivables,4,7,7,7,6,12,7,22,36,39
    └─ Receivables over 6m,0.26,3.31,1.54,1.49,0.00,0.00,0.74,0.65,4.10,
    └─ Receivables under 6m,3.90,3.90,5.57,5.96,6.45,11.59,6.61,21.32,31.42,
  └─ Cash Equivalents,0,0,0,0,0,0,4,0,0,1
  └─ Loans n Advances,0,0,0,0,0,0,0,4,4,0
  └─ Other asset items,0,1,1,2,4,5,6,5,4,11
Total Assets,10,22,28,35,36,43,48,70,93,128
