Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,20.12,20.12,20.12,20.12,20.12,20.12,20.12,20.12,20.12,20.12,20.12,60.12,
Reserves,92.60,58.30,32.94,3.21,17.58,-4.25,8.58,-7.75,32.13,26.91,66.71,51.60,
Borrowings,237.49,277.80,295.01,267.14,230.15,235.31,206.82,209.73,0.03,0.00,18.93,4.41,
  └─ Long term Borrowings,32.28,37.67,44.76,48.51,2.30,4.94,6.64,1.70,0.00,0.00,0.00,0.00,
  └─ Short term Borrowings,141.72,183.93,175.79,218.63,227.84,227.88,200.18,208.03,0.03,0.00,18.93,4.41,
  └─ Other Borrowings,63.49,56.20,74.46,0.00,0.01,2.49,0.00,0.00,0.00,0.00,0.00,,
Other Liabilities,234.92,275.57,295.21,200.70,84.79,103.78,49.38,52.60,26.75,38.37,17.73,10.42,
  └─ Non controlling int,0.20,0.20,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Trade Payables,125.27,142.53,131.11,78.79,32.45,33.00,13.12,15.00,10.55,5.27,6.19,3.42,
  └─ Advance from Customers,5.51,4.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
  └─ Other liability items,103.94,128.72,163.90,121.71,52.34,70.78,36.26,37.60,16.20,33.10,11.54,7.00,
Total Liabilities,585.13,631.79,643.28,491.17,352.64,354.96,284.90,274.70,79.03,85.40,123.49,126.55,
Fixed Assets,236.52,217.71,199.71,181.79,26.06,22.95,7.30,5.25,1.93,1.72,1.99,2.99,
  └─ Land,1.47,1.47,1.47,1.47,3.11,3.11,1.14,1.14,1.14,1.14,1.14,,
  └─ Building,21.45,21.45,21.45,21.45,0.00,0.00,0.00,0.00,0.00,0.00,0.19,,
  └─ Plant Machinery,217.09,217.10,236.83,236.83,30.28,30.28,29.86,29.86,0.09,0.36,0.65,,
  └─ Equipments,0.00,0.00,0.00,0.00,0.09,0.10,0.09,0.10,0.03,0.10,0.17,,
  └─ Computers,3.49,3.49,3.50,5.53,5.65,2.66,2.43,2.43,0.00,2.43,2.43,,
  └─ Furniture n fittings,3.24,3.25,3.34,3.34,1.04,1.04,1.03,1.03,0.00,1.03,1.05,,
  └─ Vehicles,2.35,2.35,20.90,20.90,6.10,6.11,1.76,1.76,0.27,1.76,1.76,,
  └─ Intangible Assets,67.25,67.25,27.52,0.00,0.00,21.28,10.45,10.45,0.00,10.46,10.46,0.48,
  └─ Other fixed assets,1.79,1.79,3.47,27.53,21.28,2.99,2.87,2.87,2.89,2.87,2.89,,
  └─ Gross Block,318.13,318.15,318.48,317.05,67.55,67.57,49.63,49.64,4.42,20.15,20.74,,
  └─ Accumulated Depreciation,81.61,100.44,118.76,135.26,41.49,44.62,42.34,44.39,2.49,18.43,18.75,,
CWIP,0.53,0.57,0.57,0.54,0.54,0.54,0.54,0.54,0.00,0.00,0.03,0.01,
Investments,6.08,6.08,6.08,6.08,0.00,0.00,0.00,0.00,20.81,21.44,21.39,21.86,
Other Assets,342.00,407.43,436.92,302.76,326.04,331.47,277.06,268.91,56.29,62.24,100.08,101.69,
  └─ Inventories,87,77,77,75,73,74,58,58,2,2,3,4,
  └─ Trade receivables,79,105,94,106,53,54,39,50,2,5,8,7,
    └─ Receivables over 6m,52.64,52.74,0.00,0.00,0.00,0.00,38.93,49.86,1.69,4.54,7.81,,44.65
    └─ Receivables under 6m,25.67,54.32,93.50,105.74,53.56,53.51,0.00,0.00,0.00,0.00,0.00,,27.54
    └─ Prov for Doubtful,0.49,-1.65,0.00,0.00,-0.44,0.00,0.00,0.00,0.00,0.00,0.00,,0.00
  └─ Cash Equivalents,4,3,7,8,4,4,0,0,0,3,14,18,
  └─ Loans n Advances,90,138,116,24,4,4,0,0,0,0,0,68,
  └─ Other asset items,81,84,144,90,192,196,180,161,53,54,75,5,
Total Assets,585.13,631.79,643.28,491.17,352.64,354.96,284.90,274.70,79.03,85.40,123.49,126.55,
