Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,16,16,106,106,106,107,107,107,108,108,108,108,
Reserves,640,774,1225,1377,1452,1663,2490,3244,3930,4003,4365,5192,
Borrowings,888,1094,842,980,1036,1079,1482,1777,2015,2577,2764,2518,
  └─ Long term Borrowings,304,460,125,142,259,165,429,596,761,798,646,611,
  └─ Short term Borrowings,432,481,644,759,684,791,1024,1136,1211,1709,2048,1786,
  └─ Lease Liabilities,0,0,0,0,0,23,28,45,43,70,71,121,
  └─ Preference Capital,67,67,0,0,0,0,0,0,0,0,0,0,
  └─ Other Borrowings,86,87,73,80,93,101,0,0,0,0,0,,
Other Liabilities,345,339,481,554,737,901,1671,1840,1608,1699,2099,2693,
  └─ Non controlling int,0,0,0,0,0,0,3,8,11,5,130,131,
  └─ Trade Payables,231,248,263,312,488,616,1179,876,711,1051,958,1252,
  └─ Advance from Customers,4,12,48,74,69,71,87,244,148,82,48,,
  └─ Other liability items,110,79,171,168,180,214,403,712,738,561,963,1309,
Total Liabilities,1888,2224,2653,3017,3331,3750,5751,6968,7660,8387,9336,10511,
Fixed Assets,801,1021,1230,1481,1629,1726,2171,2652,3409,3890,4123,4371,
  └─ Land,106,80,87,92,92,92,132,224,224,228,201,,
  └─ Building,220,342,445,560,632,690,760,864,1176,1367,1562,,
  └─ Plant Machinery,609,644,817,1058,1274,1448,1717,2141,2812,3375,3777,,
  └─ Computers,10,8,9,12,16,18,21,29,43,55,70,,
  └─ Furniture n fittings,23,17,27,31,41,44,47,51,88,103,109,,
  └─ Vehicles,8,6,11,15,16,16,18,22,31,36,46,,
  └─ Intangible Assets,0,0,10,10,10,10,246,246,246,246,246,265,
  └─ Other fixed assets,6,8,12,15,24,70,86,177,183,243,262,,
  └─ Gross Block,983,1106,1419,1794,2105,2388,3028,3755,4803,5652,6273,,
  └─ Accumulated Depreciation,182,85,189,313,476,661,857,1102,1394,1762,2149,,
CWIP,110,70,143,163,110,67,362,813,551,423,458,773,
Investments,7,7,3,3,3,3,3,31,50,124,233,309,
Other Assets,970,1126,1277,1369,1589,1953,3214,3472,3651,3950,4521,5058,
  └─ Inventories,476,487,509,585,682,905,1575,1760,1685,1845,1937,2342,
  └─ Trade receivables,285,445,568,571,710,791,1306,1354,1580,1663,2007,2155,
    └─ Receivables over 6m,2,0,0,0,0,0,26,0,81,74,163,,1
    └─ Receivables under 6m,283,445,570,573,712,793,1281,1354,1501,1595,1895,,194
    └─ Prov for Doubtful,-0,0,-2,-2,-2,-1,-0,-0,-1,-6,-51,,-0
  └─ Cash Equivalents,59,29,4,3,3,2,48,76,48,142,144,114,
  └─ Loans n Advances,9,10,8,11,12,12,17,17,21,29,30,45,
  └─ Other asset items,142,155,188,200,182,243,267,264,316,271,403,402,
Total Assets,1888,2224,2653,3017,3331,3750,5751,6968,7660,8387,9336,10511,
