Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,16,16,43,55,55,55,55,55,55,164,181,181,
Reserves,88,122,241,725,861,932,1125,1295,1464,1619,2427,2793,
Borrowing,1124,1404,1311,1455,2273,2796,3513,4439,6128,7426,9156,10317,
Other Liabilities,343,405,605,665,801,1037,737,519,369,339,434,455,
  └─ Non controlling int,9,10,10,12,19,19,20,23,26,36,41,62,
  └─ Trade Payables,1,5,3,4,6,8,7,15,15,21,40,38,
  └─ Advance from Customers,0,1,1,0,0,0,0,0,0,0,0,,
  └─ Other liability items,333,390,591,649,776,1010,709,482,328,282,353,354,
Total Liabilities,1572,1947,2200,2898,3990,4820,5430,6309,8015,9547,12199,13747,
Fixed Assets,4,8,9,58,13,15,12,14,17,25,27,76,
  └─ Land,0.00,0.00,0.00,45.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
  └─ Building,2.30,3.35,3.58,6.62,6.68,9.59,9.34,9.86,10.75,12.66,13.98,,
  └─ Equipments,5.79,6.64,7.73,2.70,3.23,4.03,3.88,5.14,6.98,10.38,13.61,,
  └─ Furniture n fittings,2.77,3.05,3.24,2.04,2.53,2.99,2.99,3.54,4.80,7.15,7.97,,
  └─ Vehicles,1.12,3.25,3.21,2.39,2.73,2.66,2.66,3.89,4.42,7.34,7.34,,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.28,
  └─ Other fixed assets,0.16,0.16,0.31,0.26,0.29,0.41,0.44,0.62,1.66,2.16,4.32,,
  └─ Gross Block,12.14,16.45,18.07,59.32,15.46,19.68,19.31,23.05,28.61,39.69,47.22,,
  └─ Accumulated Depreciation,7.66,8.28,9.32,1.54,2.94,5.05,7.23,9.29,11.74,14.26,19.80,,
CWIP,0,0,0,0,46,48,50,52,58,70,92,126,
Investments,0,0,0,0,0,5,202,493,791,726,1526,972,
Other Assets,1567,1938,2191,2840,3932,4752,5166,5750,7149,8726,10554,12573,
  └─ Trade receivables,0,0,0,0,0,0,2,1,4,7,5,6,
    └─ Receivables over 6m,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.27,1.42,2.61,,0.00
    └─ Receivables under 6m,0.00,0.00,0.00,0.00,0.00,0.00,2.23,0.15,4.03,5.12,2.06,,0.00
  └─ Cash Equivalents,218,182,47,60,410,1048,1019,871,804,878,1141,1004,
  └─ Loans n Advances,870,1138,1176,2,1,3,6,16,15,21,83,11118,
  └─ Other asset items,479,619,968,2779,3521,3702,4138,4862,6326,7820,9325,445,
Total Assets,1572,1947,2200,2898,3990,4820,5430,6309,8015,9547,12199,13747,
