Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,17.04,17.04,17.04,17.04,17.04,17.04,17.04,17.74,17.74
Reserves,22.57,25.47,26.69,26.79,28.28,30.56,33.73,44.87,48.58
Borrowings,2.32,5.02,11.22,11.13,11.11,13.83,14.24,15.71,21.36
  └─ Long term Borrowings,2.28,1.20,1.62,3.23,1.59,1.49,1.17,0.69,7.15
  └─ Short term Borrowings,0.03,3.82,9.60,7.90,9.52,12.34,13.07,15.02,14.21
  └─ Other Borrowings,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Other Liabilities,7.81,11.13,11.14,8.71,10.06,9.99,11.35,11.81,13.04
  └─ Non controlling int,0.00,1.44,1.64,0.65,0.58,0.00,0.00,0.00,0.00
  └─ Trade Payables,4.38,5.09,6.04,6.34,6.70,7.98,7.95,8.92,11.52
  └─ Advance from Customers,1.31,2.41,1.80,0.62,1.43,0.68,2.11,1.03,
  └─ Other liability items,2.12,2.19,1.66,1.10,1.35,1.33,1.29,1.86,1.52
Total Liabilities,49.74,58.66,66.09,63.67,66.49,71.42,76.36,90.13,100.72
Fixed Assets,12.59,15.49,17.57,15.95,15.85,15.65,14.54,16.80,18.83
  └─ Land,11.03,11.08,11.18,0.00,0.00,0.00,0.00,0.00,
  └─ Building,0.00,0.00,0.00,11.27,11.27,11.27,11.71,12.11,
  └─ Plant Machinery,3.29,6.59,10.18,10.17,11.29,5.90,12.37,13.88,
  └─ Computers,0.57,0.68,0.78,0.75,1.95,2.09,1.35,1.58,
  └─ Furniture n fittings,1.61,2.13,2.33,2.23,2.42,2.47,2.97,3.28,
  └─ Vehicles,1.19,2.02,2.40,1.93,0.81,0.92,2.08,3.44,
  └─ Intangible Assets,0.00,0.06,0.06,0.08,0.08,0.61,0.71,0.81,0.58
  └─ Other fixed assets,0.00,0.00,0.00,0.00,0.00,5.72,0.01,-0.01,
  └─ Gross Block,17.69,22.56,26.93,26.43,27.82,28.98,31.20,35.09,
  └─ Accumulated Depreciation,5.10,7.07,9.36,10.49,11.97,13.33,16.66,18.29,
CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Investments,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Other Assets,37.15,43.17,48.52,47.72,50.64,55.77,61.82,73.33,81.89
  └─ Inventories,20,32,35,37,39,41,46,51,55
  └─ Trade receivables,6,5,6,5,6,8,10,13,17
  └─ Cash Equivalents,9,1,0,1,0,0,0,1,1
  └─ Loans n Advances,0,0,0,1,1,2,1,3,6
  └─ Other asset items,2,5,7,3,4,4,4,5,3
Total Assets,49.74,58.66,66.09,63.67,66.49,71.42,76.36,90.13,100.72
