Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.04,0.04,0.04,34,34,35,35,37
Reserves,218,212,290,303,342,437,506,802
Borrowings,98,115,35,27,31,26,204,54
  └─ Long term Borrowings,0,0,0,0,0,0,13,0
  └─ Short term Borrowings,52,72,0,0,0,0,137,0
  └─ Lease Liabilities,46,43,35,27,31,26,54,54
  └─ Preference Capital,0,0,0,0,0,0,0,0
  └─ Other Borrowings,-0,-0,0,0,0,-0,0,
Other Liabilities,202,231,220,238,295,344,412,479
  └─ Non controlling int,2,2,2,2,7,10,11,14
  └─ Trade Payables,66,39,33,29,36,43,31,46
  └─ Advance from Customers,0,0,0,0,0,0,0,
  └─ Other liability items,134,190,184,206,252,292,371,420
Total Liabilities,518,558,545,602,702,842,1158,1372
Fixed Assets,142,138,119,99,171,246,306,659
  └─ Building,67,75,63,70,89,106,145,
  └─ Equipments,6,8,12,10,6,8,7,
  └─ Computers,23,24,26,29,30,38,36,
  └─ Furniture n fittings,12,16,17,13,13,13,12,
  └─ Vehicles,0,0,0,0,0,0,0,
  └─ Intangible Assets,41,41,41,41,75,129,130,565
  └─ Other fixed assets,63,69,72,74,105,144,203,
  └─ Gross Block,211,233,231,237,319,437,533,
  └─ Accumulated Depreciation,69,95,112,138,147,190,227,
CWIP,3,1,1,6,-0,3,4,-0
Investments,88,72,111,201,44,77,274,158
Other Assets,285,347,315,296,487,516,574,556
  └─ Trade receivables,90,68,121,119,127,179,221,287
    └─ Receivables over 6m,4,16,9,12,24,15,18,
    └─ Receivables under 6m,91,57,145,129,119,173,214,
    └─ Prov for Doubtful,-5,-5,-33,-22,-16,-9,-11,
  └─ Cash Equivalents,14,39,115,63,212,164,185,86
  └─ Loans n Advances,5,3,-2,10,14,11,14,28
  └─ Other asset items,176,237,81,105,134,162,153,155
Total Assets,518,558,545,602,702,842,1158,1372
