Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,18,18,18,18,18,18,18,18,18
Reserves,40,48,54,59,65,71,82,87,70
Borrowings,50,44,35,43,44,28,23,35,35
  └─ Long term Borrowings,27.44,19.38,13.27,11.91,5.11,8.17,5.58,1.75,2.64
  └─ Short term Borrowings,23.06,24.86,21.65,31.25,38.67,19.79,16.94,32.77,32.13
  └─ Other Borrowings,0.00,0.00,-0.01,0.01,0.00,0.00,0.00,0.01,
Other Liabilities,29,23,27,26,30,21,17,28,30
  └─ Non controlling int,0.00,0.00,0.00,0.31,0.64,0.00,0.00,0.00,0.00
  └─ Trade Payables,10.84,3.93,7.71,8.67,10.74,6.19,3.94,9.24,5.10
  └─ Advance from Customers,0.00,0.00,0.00,0.00,0.32,0.53,0.77,6.26,
  └─ Other liability items,18.38,19.41,19.02,16.84,18.48,14.02,12.12,12.45,25.11
Total Liabilities,138,133,134,147,157,138,140,168,154
Fixed Assets,65,64,61,65,53,49,45,42,40
  └─ Land,0.34,2.59,2.59,6.10,6.17,7.17,7.17,7.38,
  └─ Building,14.40,14.40,14.76,15.52,13.62,14.18,14.54,14.58,
  └─ Plant Machinery,59.29,60.40,60.64,64.72,59.02,55.44,55.14,51.47,
  └─ Computers,0.10,0.11,0.12,0.20,0.21,0.21,0.23,0.23,
  └─ Furniture n fittings,0.31,0.31,0.31,0.31,0.31,0.00,0.00,0.00,
  └─ Vehicles,1.01,1.43,2.09,2.09,2.17,2.33,2.43,3.85,
  └─ Other fixed assets,0.63,0.69,0.73,0.78,0.81,1.14,1.29,5.17,
  └─ Gross Block,76.08,79.93,81.24,89.72,82.31,80.47,80.80,82.68,
  └─ Accumulated Depreciation,11.31,15.62,20.01,24.60,29.18,31.75,36.06,41.02,
CWIP,0,0,1,0,0,0,1,6,18
Investments,0,0,0,0,0,0,1,2,3
Other Assets,73,69,71,81,104,89,93,118,93
  └─ Inventories,13.90,18.78,24.09,30.20,27.23,24.98,22.30,36.93,36.40
  └─ Trade receivables,36.45,26.22,21.27,23.40,40.70,35.27,39.39,18.14,10.06
    └─ Receivables over 6m,11.50,10.68,8.99,6.60,5.81,8.12,3.37,3.00,
    └─ Receivables under 6m,24.95,15.54,12.29,16.80,34.90,27.15,36.02,15.14,
  └─ Cash Equivalents,2.41,0.74,1.37,1.08,1.09,1.26,5.01,14.14,5.49
  └─ Loans n Advances,0.28,1.32,2.01,0.00,0.00,0.30,0.35,3.53,0.57
  └─ Other asset items,19.90,21.60,22.53,26.74,35.11,27.43,25.58,45.74,40.38
Total Assets,138,133,134,147,157,138,140,168,154
