Metric,Mar 2015,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.04,0.04,0.04,0.04,0.04,0.05,90,90,90,92,93
Reserves,97,301,787,489,1265,1990,5322,5386,5781,6340,7219
Borrowings,0,1,1,90,110,110,159,227,253,322,360
  └─ Lease Liabilities,,,0,0,108,109,159,227,253,322,360
  └─ Preference Capital,0,1,1,1,1,1,0,0,0,0,0
  └─ Other Borrowings,0,0,0,89,-0,0,0,0,0,0,
Other Liabilities,29,43,92,172,202,230,344,551,604,775,1035
  └─ Non controlling int,0,0,0,0,0,0,0,8,5,6,6
  └─ Trade Payables,19,28,47,111,118,102,198,306,301,367,471
  └─ Advance from Customers,0,1,0,0,0,0,0,1,0,0,
  └─ Other liability items,10,14,45,61,84,128,146,236,298,402,558
Total Liabilities,126,345,880,751,1576,2331,5915,6254,6729,7529,8707
Fixed Assets,4,6,11,119,147,125,205,313,359,418,441
  └─ Building,0.16,0.16,2.50,111.50,137.23,139.80,206.14,308.84,382.71,500.62,
  └─ Equipments,1.65,2.04,2.60,4.83,6.36,5.93,6.36,8.93,12.44,16.36,
  └─ Computers,5.99,10.26,12.28,26.55,43.24,43.92,60.84,82.07,114.57,167.30,
  └─ Furniture n fittings,0.70,0.92,1.45,9.34,10.83,13.79,15.12,20.17,18.94,31.66,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,22.18,37.71,37.71,16.91,10.77
  └─ Other fixed assets,1.82,2.68,2.60,3.73,8.42,8.68,9.98,16.12,19.10,20.25,
  └─ Gross Block,10.32,16.06,21.43,155.95,206.08,212.12,320.62,473.84,585.47,753.10,
  └─ Accumulated Depreciation,6.46,9.82,10.67,37.07,58.76,87.36,115.72,160.55,226.85,335.27,
CWIP,0,0,0,0,0,0,0,0,0,0,0
Investments,19,237,650,125,2,138,373,622,1358,2173,3211
Other Assets,103,102,219,507,1427,2068,5338,5319,5011,4938,5054
  └─ Trade receivables,25,38,96,131,179,173,361,677,634,1000,1729
  └─ Cash Equivalents,61,34,48,267,1106,1810,3700,763,735,793,760
  └─ Loans n Advances,10,18,3,4,4,8,11,18,20,48,1574
  └─ Other asset items,6,11,73,105,138,77,1266,3860,3623,3098,992
Total Assets,126,345,880,751,1576,2331,5915,6254,6729,7529,8707
