Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Sep 2023
Equity Capital,321,321,321,321,321,321,321,321,321
Reserves,764,838,932,968,1048,1092,1206,1328,1402
Borrowings,0,0,0,5,43,0,32,42,48
  └─ Lease Liabilities,,0.00,0.00,0.00,42.54,0.00,31.51,41.79,48.04
  └─ Other Borrowings,0.00,0.00,0.00,5.48,0.00,0.00,0.00,0.00,
Other Liabilities,1135,1162,1066,933,986,1297,1300,1648,1779
  └─ Trade Payables,144,200,276,267,379,533,493,569,689
  └─ Advance from Customers,0,0,278,166,157,181,128,102,
  └─ Other liability items,991,962,512,501,451,584,679,977,1090
Total Liabilities,2220,2321,2319,2228,2398,2710,2858,3339,3550
Fixed Assets,711,694,688,790,789,760,775,821,828
  └─ Land,2.53,2.53,18.61,16.23,37.21,21.27,27.24,27.24,
  └─ Building,60.08,68.26,69.41,168.40,189.16,214.73,217.05,233.27,
  └─ Plant Machinery,1350.51,1437.74,1522.54,1637.83,1644.56,1660.25,1807.82,1967.89,
  └─ Equipments,6.34,7.36,7.91,8.32,8.65,10.85,15.29,20.14,
  └─ Computers,2.04,2.22,10.88,9.05,9.67,11.37,12.56,14.52,
  └─ Furniture n fittings,2.95,3.20,3.35,3.37,4.01,4.56,4.98,5.60,
  └─ Vehicles,0.00,0.00,0.39,0.39,0.39,0.39,0.40,0.40,
  └─ Intangible Assets,0.00,0.00,5.30,5.30,5.30,5.61,5.60,5.61,4.30
  └─ Other fixed assets,6.55,9.69,4.76,7.38,42.99,51.83,52.05,56.39,
  └─ Gross Block,1431.00,1531.00,1643.15,1856.27,1941.94,1980.86,2142.99,2331.06,
  └─ Accumulated Depreciation,720.47,837.09,955.15,1066.33,1152.59,1220.95,1368.07,1509.75,
CWIP,262,359,364,300,253,215,163,157,217
Investments,0,0,0,7,0,0,30,40,5
Other Assets,1247,1268,1267,1131,1356,1735,1890,2321,2500
  └─ Inventories,1,0,0,1,0,1,1,1,1
  └─ Trade receivables,264,375,467,460,507,772,685,1048,1272
  └─ Cash Equivalents,572,616,509,407,268,588,328,273,319
  └─ Loans n Advances,144,138,66,97,111,125,106,165,278
  └─ Other asset items,266,139,225,166,469,248,770,834,630
Total Assets,2220,2321,2319,2228,2398,2710,2858,3339,3550
