Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,9,9,9,9,9,9,14,20,20,25,33,296
Reserves,-7,-12,1,37,96,107,116,141,206,202,248,158
Borrowings,37,44,36,16,8,46,83,116,139,233,247,113
  └─ Long term Borrowings,0,0,18,7,3,2,28,35,60,129,140,44
  └─ Short term Borrowings,27,34,17,8,4,44,55,71,72,92,95,64
  └─ Lease Liabilities,0,0,0,0,0,0,0,11,7,12,12,5
  └─ Preference Capital,10,10,0,4,0,0,0,0,0,0,0,0
  └─ Other Borrowings,0,0,0,-4,1,1,0,-0,0,0,0,
Other Liabilities,26,27,37,78,64,53,91,110,61,73,109,90
  └─ Trade Payables,20.76,20.42,25.52,23.24,12.11,21.93,25.88,44.24,33.47,33.24,48.46,48.02
  └─ Advance from Customers,0.03,0.00,2.31,32.47,6.76,2.19,0.00,0.00,0.00,0.00,0.00,
  └─ Other liability items,5.53,6.68,9.03,22.02,44.66,28.84,65.33,65.48,27.80,39.40,60.63,41.94
Total Liabilities,66,68,83,139,177,216,304,386,426,532,637,658
Fixed Assets,31,29,37,50,76,84,78,75,144,156,150,163
  └─ Land,7.68,7.68,16.51,16.51,16.51,16.51,16.51,16.51,16.51,16.51,16.51,
  └─ Building,10.49,10.49,2.69,3.01,6.29,7.28,8.37,8.09,34.29,39.07,39.07,
  └─ Plant Machinery,78.46,78.59,19.48,20.87,49.79,55.58,0.00,49.35,96.84,105.12,106.91,
  └─ Ships Vessels,0.00,0.00,0.00,0.00,0.00,0.00,4.87,0.00,0.00,0.00,0.00,
  └─ Equipments,0.00,0.00,0.00,0.00,0.00,0.00,48.59,0.00,0.00,0.00,0.00,
  └─ Computers,1.19,1.19,0.04,0.27,0.64,2.00,0.99,2.12,1.05,1.09,1.17,
  └─ Furniture n fittings,0.70,0.70,0.04,0.11,0.35,0.50,0.50,0.50,0.51,0.52,0.54,
  └─ Vehicles,1.87,1.87,0.14,2.77,4.87,4.87,0.00,4.91,4.91,4.91,5.55,
  └─ Intangible Assets,0.00,0.00,0.00,10.42,6.36,6.36,6.36,6.36,0.00,0.00,0.00,2.19
  └─ Other fixed assets,0.00,0.00,0.01,0.01,0.01,5.63,6.64,7.57,17.78,31.74,38.09,
  └─ Gross Block,100.39,100.52,38.91,53.97,84.82,98.73,92.83,95.41,171.89,198.96,207.84,
  └─ Accumulated Depreciation,69.11,71.11,1.92,4.21,8.58,14.38,14.46,20.56,28.17,43.08,58.09,
CWIP,9,9,9,11,2,15,23,68,28,53,100,78
Investments,0,0,0,0,5,6,6,7,6,6,0,0
Other Assets,26,30,37,78,94,111,197,236,248,317,387,416
  └─ Inventories,9,9,16,22,41,52,66,101,116,115,135,98
  └─ Trade receivables,7,13,10,15,16,29,49,41,66,126,122,133
  └─ Cash Equivalents,0,1,1,8,9,1,11,8,9,8,9,18
  └─ Loans n Advances,1,0,0,2,1,6,36,43,9,2,2,3
  └─ Other asset items,8,7,9,31,27,24,34,43,48,66,118,164
Total Assets,66,68,83,139,177,216,304,386,426,532,637,658
