Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,13,13,13,13,13,12,12,12,12,12,12,12
Reserves,401,430,592,713,881,1007,1131,1243,1623,1899,1976,2030
Borrowings,329,302,171,149,97,10,8,4,0,21,82,0
  └─ Long term Borrowings,157.57,157.44,116.84,91.80,51.48,6.63,3.49,0.54,0.00,0.00,0.00,0.00
  └─ Short term Borrowings,126.05,97.28,0.00,0.00,0.00,0.00,0.00,3.56,0.00,21.00,81.86,0.00
  └─ Lease Liabilities,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.02,0.00,0.00,0.00,0.00
  └─ Other Borrowings,45.29,47.12,53.88,57.41,45.45,3.58,4.03,0.00,0.00,0.00,0.00,0.00
Other Liabilities,380,391,343,406,446,419,367,400,443,459,452,460
  └─ Trade Payables,226,221,188,236,259,195,171,196,233,259,247,239
  └─ Advance from Customers,0,0,0,0,2,2,7,1,2,2,1,1
  └─ Other liability items,154,170,155,170,186,222,189,204,209,198,204,220
Total Liabilities,1123,1135,1118,1281,1436,1448,1518,1660,2079,2391,2522,2502
Fixed Assets,661,638,650,686,685,688,747,828,809,789,769,758
  └─ Land,4,4,4,4,4,4,4,4,4,4,4,4
  └─ Building,130,132,94,97,102,109,113,113,117,118,124,127
  └─ Plant Machinery,925,886,564,627,652,682,775,896,914,936,954,984
  └─ Equipments,6,6,1,1,2,3,3,4,5,5,5,6
  └─ Furniture n fittings,7,7,2,2,2,2,2,2,2,2,2,2
  └─ Vehicles,3,3,2,2,2,2,2,2,3,3,3,3
  └─ Intangible Assets,14,14,13,13,13,13,13,13,13,13,13,13
  └─ Other fixed assets,0,0,1,2,3,3,3,3,4,4,4,5
  └─ Gross Block,1090,1053,681,748,781,819,917,1038,1063,1087,1111,1144
  └─ Accumulated Depreciation,429,415,31,63,96,132,169,210,254,298,342,386
CWIP,13,50,41,27,23,31,32,14,20,35,71,93
Investments,43,47,93,108,107,103,152,178,197,248,278,305
Other Assets,405,399,335,460,621,626,585,640,1054,1319,1404,1346
  └─ Inventories,134,114,129,158,135,169,227,124,241,288,354,360
  └─ Trade receivables,124,129,106,107,80,81,82,101,95,119,148,190
  └─ Cash Equivalents,10,10,20,144,312,326,207,331,497,608,673,146
  └─ Loans n Advances,63,72,5,3,3,4,4,3,8,5,4,4
  └─ Other asset items,74,74,75,48,93,46,66,80,212,298,225,646
Total Assets,1123,1135,1118,1281,1436,1448,1518,1660,2079,2391,2522,2502
