Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,18,18,18,18,18,18,18,18,18,18,18,18
Reserves,121,125,124,128,286,238,371,459,428,654,686,640
Borrowings,0,0,11,0,0,0,0,0,0,10,23,274
  └─ Long term Borrowings,0,0,0,0,0,0,0,0,0,0,0,274
  └─ Short term Borrowings,0,0,11,0,0,0,0,0,0,0,0,0
  └─ Other Borrowings,0,0,0,0,0,0,0,0,0,10,23,
Other Liabilities,7,7,24,5,10,3,24,49,25,16,11,3
  └─ Trade Payables,1.89,3.38,19.69,2.15,1.59,1.20,0.41,0.97,0.43,1.17,0.05,0.29
  └─ Other liability items,5.05,3.53,4.42,2.94,8.45,2.28,23.31,47.59,24.70,14.47,11.20,2.25
Total Liabilities,146,149,177,150,314,259,412,525,471,697,738,934
Fixed Assets,21,20,20,20,18,17,17,17,16,16,16,17
  └─ Building,21.98,21.98,21.98,21.98,15.66,15.66,15.69,5.71,5.71,5.06,4.65,
  └─ Equipments,0.90,0.91,0.91,0.91,0.95,0.95,0.95,0.95,0.97,0.99,1.01,
  └─ Computers,0.04,0.06,0.08,0.08,0.09,0.09,0.09,0.12,0.13,0.17,0.21,
  └─ Furniture n fittings,1.53,1.53,1.39,1.39,1.39,1.39,1.39,1.39,1.53,1.53,1.55,
  └─ Vehicles,0.49,0.59,0.52,0.52,0.52,0.52,0.52,0.47,0.28,0.68,1.04,
  └─ Other fixed assets,1.76,1.76,3.53,1.78,6.35,6.35,6.35,16.34,16.34,16.35,16.62,
  └─ Gross Block,26.70,26.83,28.41,26.66,24.96,24.96,24.99,24.98,24.96,24.78,25.08,
  └─ Accumulated Depreciation,5.87,6.38,8.35,7.00,7.41,7.80,8.16,8.46,8.65,8.93,9.00,
CWIP,0,0,0,0,0,0,0,0,0,0,0,2
Investments,33,56,70,86,276,223,353,473,427,649,682,845
Other Assets,92,73,87,45,20,19,43,35,28,32,41,70
  └─ Inventories,63,44,21,27,0,0,13,0,0,0,0,0
  └─ Trade receivables,1,14,4,1,0,0,0,0,0,0,0,0
  └─ Cash Equivalents,3,10,30,9,11,15,27,12,19,28,22,55
  └─ Loans n Advances,0,0,0,0,1,1,1,0,1,0,1,0
  └─ Other asset items,25,4,32,8,8,3,3,22,7,4,18,16
Total Assets,146,149,177,150,314,259,412,525,471,697,738,934
