Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,3,4,4,10,10,10,10
Reserves,3,15,19,26,20,39,67
Borrowings,3,1,0,4,5,4,2
  └─ Long term Borrowings,0.25,1.01,0.00,3.01,2.87,1.88,0.89
  └─ Short term Borrowings,2.63,0.21,0.42,0.86,1.97,1.77,1.13
  └─ Other Borrowings,0.02,0.00,0.00,0.00,0.00,0.01,
Other Liabilities,5,1,13,24,5,8,10
  └─ Non controlling int,3.59,0.00,11.16,16.13,0.00,0.00,0.03
  └─ Trade Payables,0.39,0.14,0.28,0.82,0.81,0.98,0.99
  └─ Advance from Customers,0.00,0.08,0.00,0.00,0.00,0.00,
  └─ Other liability items,1.02,0.77,1.79,6.87,4.06,7.43,9.11
Total Liabilities,14,22,37,64,40,62,89
Fixed Assets,0,1,1,1,8,7,6
  └─ Building,0.00,0.00,0.00,0.00,7.86,7.92,
  └─ Plant Machinery,0.00,1.21,1.20,0.00,0.00,0.00,
  └─ Equipments,0.00,0.03,0.05,0.03,0.07,0.08,
  └─ Computers,0.04,0.30,0.41,0.32,0.43,0.58,
  └─ Furniture n fittings,0.00,0.21,0.22,0.06,0.07,0.08,
  └─ Vehicles,0.00,0.15,0.15,0.22,0.22,0.22,
  └─ Other fixed assets,0.39,0.02,0.00,0.65,0.66,0.31,
  └─ Gross Block,0.43,1.92,2.03,1.28,9.31,9.19,
  └─ Accumulated Depreciation,0.02,1.22,1.45,0.38,1.49,2.21,
CWIP,0,0,0,7,0,0,0
Investments,1,6,21,44,7,17,39
Other Assets,12,15,15,13,25,38,44
  └─ Trade receivables,4.06,3.61,3.24,5.42,14.59,20.94,18.41
    └─ Receivables over 6m,0.00,0.84,1.25,0.97,3.99,5.80,
    └─ Receivables under 6m,4.06,2.77,1.99,4.46,10.60,17.29,
    └─ Prov for Doubtful,0.00,0.00,0.00,0.00,0.00,-2.14,
  └─ Cash Equivalents,7.88,10.99,11.85,4.56,7.28,10.67,8.72
  └─ Loans n Advances,0.00,0.01,0.00,0.38,0.09,0.21,12.90
  └─ Other asset items,0.33,0.54,0.12,2.17,3.25,6.11,4.28
Total Assets,14,22,37,64,40,62,89
