Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,4,25,25,25
Reserves,14,49,68,93
Borrowings,20,9,19,50
  └─ Long term Borrowings,4.56,3.81,9.09,33.12
  └─ Short term Borrowings,15.44,5.41,9.65,16.86
  └─ Other Borrowings,0.00,0.00,0.01,
Other Liabilities,31,38,47,93
  └─ Non controlling int,4,3,4,4
  └─ Trade Payables,22,23,32,62
  └─ Advance from Customers,1,5,3,
  └─ Other liability items,5,7,9,27
Total Liabilities,69,121,158,261
Fixed Assets,5,7,15,92
  └─ Land,0.70,2.33,5.06,
  └─ Building,2.29,2.40,2.40,
  └─ Plant Machinery,1.97,2.16,2.69,
  └─ Equipments,1.94,2.21,6.48,
  └─ Computers,0.16,0.19,0.26,
  └─ Furniture n fittings,0.13,0.14,0.21,
  └─ Vehicles,0.12,1.06,1.07,
  └─ Intangible Assets,0.00,0.00,0.00,1.43
  └─ Other fixed assets,-0.01,0.00,0.00,
  └─ Gross Block,7.30,10.49,18.17,
  └─ Accumulated Depreciation,2.70,3.08,3.55,
CWIP,0,17,49,28
Investments,0,0,0,0
Other Assets,64,96,94,142
  └─ Inventories,20,20,32,62
  └─ Trade receivables,33,66,45,47
    └─ Receivables over 6m,3.75,16.08,10.50,
    └─ Receivables under 6m,28.86,49.59,34.65,
  └─ Cash Equivalents,6,0,6,10
  └─ Loans n Advances,0,2,1,0
  └─ Other asset items,6,8,10,23
Total Assets,69,121,158,261
