Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,7,7,7,7,7,10,10
Reserves,111,118,141,147,171,201,234
Borrowings,13,18,21,99,92,89,130
  └─ Long term Borrowings,8,10,12,8,5,3,0
  └─ Short term Borrowings,0,6,7,6,3,3,2
  └─ Lease Liabilities,0,0,0,83,82,83,129
  └─ Preference Capital,2,2,2,2,2,0,0
  └─ Other Borrowings,4,0,0,0,0,-0,
Other Liabilities,42,28,32,28,30,33,73
  └─ Non controlling int,0,0,0,-0,-0,-1,-1
  └─ Trade Payables,13,13,14,14,14,14,21
  └─ Advance from Customers,0,0,1,0,0,0,
  └─ Other liability items,28,16,17,15,16,21,53
Total Liabilities,173,171,201,281,300,334,448
Fixed Assets,128,119,119,195,212,223,316
  └─ Land,0.79,0.79,0.79,0.79,0.79,0.79,
  └─ Building,9.75,9.75,9.85,94.27,105.01,120.16,
  └─ Plant Machinery,129.51,133.60,138.98,4.47,6.33,11.79,
  └─ Equipments,9.74,3.35,3.67,94.92,124.15,141.36,
  └─ Computers,6.38,7.12,7.92,1.30,2.00,2.70,
  └─ Furniture n fittings,29.68,35.00,41.41,26.94,31.88,36.73,
  └─ Vehicles,3.69,3.64,3.77,2.04,1.95,2.94,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,6.83
  └─ Other fixed assets,4.93,4.33,4.59,1.71,1.75,2.68,
  └─ Gross Block,194.47,197.58,210.98,226.44,273.86,319.15,
  └─ Accumulated Depreciation,66.55,78.59,91.68,31.23,62.33,96.22,
CWIP,0,0,1,2,1,11,35
Investments,5,5,0,0,0,1,0
Other Assets,39,46,80,84,87,99,97
  └─ Inventories,5.45,4.45,6.23,6.16,6.68,8.05,8.14
  └─ Trade receivables,6.00,6.00,7.57,4.68,8.87,13.81,22.76
    └─ Receivables over 6m,0.00,0.00,0.00,2.66,2.40,4.37,
    └─ Receivables under 6m,7.23,6.00,7.57,4.05,8.64,13.62,
    └─ Prov for Doubtful,-1.23,0.00,0.00,-2.04,-2.17,-4.18,
  └─ Cash Equivalents,3.92,4.43,2.82,55.04,55.02,20.11,26.35
  └─ Loans n Advances,7.58,6.86,5.08,2.16,1.86,2.42,21.62
  └─ Other asset items,16.25,24.74,58.46,15.54,14.92,54.61,17.67
Total Assets,173,171,201,281,300,334,448
