Metric,Mar 2024,Mar 2025,Mar 2026
Equity Capital,3,7,7
Reserves,17,19,26
Borrowings,2,4,8
  └─ Long term Borrowings,0.00,1.56,5.88
  └─ Short term Borrowings,2.07,2.85,2.08
Other Liabilities,11,15,33
  └─ Non controlling int,0.00,0.00,0.12
  └─ Trade Payables,8.09,9.94,27.15
  └─ Other liability items,3.31,4.80,5.90
Total Liabilities,34,45,74
Fixed Assets,4,10,10
  └─ Building,0.00,6.00,
  └─ Plant Machinery,0.27,0.29,
  └─ Equipments,1.17,1.58,
  └─ Furniture n fittings,0.78,1.19,
  └─ Vehicles,4.01,4.15,
  └─ Other fixed assets,0.00,-0.02,
  └─ Gross Block,6.23,13.19,
  └─ Accumulated Depreciation,2.33,3.48,
CWIP,6,0,0
Investments,0,0,0
Other Assets,24,35,64
  └─ Trade receivables,16.99,24.44,46.32
  └─ Cash Equivalents,2.82,5.45,8.19
  └─ Loans n Advances,0.31,0.58,1.52
  └─ Other asset items,3.81,4.72,7.49
Total Assets,34,45,74
