Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,21,21,23,23,23,23,23,23,23,23,23,49
Reserves,1016,1147,1304,1461,1647,1792,1880,2050,2247,2530,2869,4039
Borrowings,804,746,722,777,840,890,863,906,900,829,732,733
  └─ Long term Borrowings,265,196,258,330,318,331,262,253,246,165,147,149
  └─ Short term Borrowings,389,405,373,355,423,431,548,573,565,579,499,490
  └─ Lease Liabilities,0,0,0,0,0,58,53,81,90,85,86,94
  └─ Other Borrowings,151,145,91,92,98,70,0,0,0,0,0,
Other Liabilities,493,505,523,632,691,659,538,626,660,732,775,817
  └─ Non controlling int,75,76,38,40,46,52,48,53,58,64,70,78
  └─ Trade Payables,314,323,346,437,475,444,324,385,406,444,451,446
  └─ Other liability items,103,107,139,154,169,163,166,187,196,224,253,293
Total Liabilities,2334,2420,2571,2892,3200,3364,3304,3604,3829,4114,4399,5639
Fixed Assets,1154,1147,1100,1200,1279,1349,1281,1314,1383,1368,1373,1435
  └─ Land,34.53,34.33,34.91,38.42,41.24,41.24,32.17,32.17,36.79,34.24,34.22,
  └─ Building,186.91,180.89,193.87,211.05,217.93,220.33,211.38,212.12,217.72,180.24,202.45,
  └─ Plant Machinery,1312.67,1353.99,1543.41,1751.63,1960.62,2110.44,2190.45,2343.87,2556.06,2691.88,2818.30,
  └─ Equipments,8.95,7.96,9.99,12.04,14.68,16.14,16.66,17.12,17.59,18.39,18.82,
  └─ Computers,6.21,5.71,6.53,7.88,8.68,8.89,9.16,9.43,9.66,10.26,11.12,
  └─ Furniture n fittings,23.85,22.03,22.72,24.01,25.17,25.61,25.79,25.90,25.98,26.08,26.68,
  └─ Vehicles,16.36,16.73,17.83,20.01,21.71,20.85,21.32,21.78,22.36,22.15,21.41,
  └─ Intangible Assets,121.57,125.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18
  └─ Other fixed assets,21.94,16.40,4.54,4.85,5.02,77.45,84.12,118.37,132.61,133.36,150.14,
  └─ Gross Block,1732.99,1763.82,1833.80,2069.89,2295.05,2520.95,2591.05,2780.76,3018.77,3116.60,3283.14,
  └─ Accumulated Depreciation,579.47,616.96,733.37,870.18,1015.98,1171.52,1309.99,1467.14,1635.98,1748.29,1910.41,
CWIP,43,71,87,94,98,81,40,70,68,41,79,230
Investments,0,0,0,0,0,0,0,0,0,2,3,6
Other Assets,1138,1202,1384,1598,1822,1934,1983,2220,2379,2703,2943,3968
  └─ Inventories,479,483,547,641,737,758,760,908,995,1050,1148,1328
  └─ Trade receivables,465,492,578,670,784,821,798,867,943,1082,1162,1452
  └─ Cash Equivalents,69,70,66,74,67,82,87,94,101,153,178,580
  └─ Loans n Advances,86,7,9,11,11,14,13,14,13,15,19,42
  └─ Other asset items,39,150,184,202,223,260,325,337,326,402,436,566
Total Assets,2334,2420,2571,2892,3200,3364,3304,3604,3829,4114,4399,5639
