Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,48,48,48,48,48,48,48,48,48,48,48,48,
Reserves,1277,1771,2169,2630,3123,3235,3779,4352,5457,6736,8456,9517,
Borrowings,1119,1091,1311,6928,9298,11591,12179,15827,22376,26006,28609,32791,
  └─ Long term Borrowings,560,509,501,2361,4909,5221,6280,7306,9064,12629,13933,12486,
  └─ Short term Borrowings,465,391,741,3192,3254,3781,5650,7992,12562,12657,13683,19138,
  └─ Lease Liabilities,0,0,0,0,0,242,248,530,749,719,993,1167,
  └─ Other Borrowings,94,192,69,1374,1135,2348,0,0,0,0,0,,
Other Liabilities,2126,2236,2601,3586,4228,4399,5859,6692,7144,9235,10539,14145,
  └─ Non controlling int,0,-1,9,181,246,321,388,654,405,728,939,1149,
  └─ Trade Payables,1524,1627,1954,2651,3160,3187,4299,4663,5097,6638,7561,9834,
  └─ Advance from Customers,95,107,78,91,64,137,176,278,338,258,394,,
  └─ Other liability items,507,503,560,663,758,754,997,1098,1304,1611,1645,3162,
Total Liabilities,4570,5146,6128,13190,16696,19272,21865,26919,35025,42024,47651,56501,
Fixed Assets,1637,2038,2362,3094,3367,3811,4221,5975,5748,5891,7644,10200,
  └─ Land,262,208,229,286,294,310,338,358,512,563,1046,,
  └─ Building,464,558,638,763,886,1066,979,1356,1159,1264,1252,,
  └─ Plant Machinery,2373,2968,3321,3743,4126,4485,4818,5542,5411,5683,6014,,
  └─ Equipments,73,79,89,151,191,217,240,284,311,359,429,,
  └─ Furniture n fittings,35,39,58,81,105,115,129,151,171,238,298,,
  └─ Vehicles,15,16,20,23,31,57,65,85,99,121,390,,
  └─ Intangible Assets,0,2,2,188,188,188,866,1643,1775,1940,2579,3537,
  └─ Other fixed assets,69,99,164,310,343,620,607,1048,1381,1593,2160,,
  └─ Gross Block,3290,3968,4523,5545,6164,7058,8042,10469,10820,11761,14168,,
  └─ Accumulated Depreciation,1653,1930,2161,2451,2797,3248,3821,4494,5072,5870,6524,,
CWIP,93,47,64,313,745,1006,1041,552,743,1033,1465,974,
Investments,539,943,1155,421,440,371,468,605,967,1123,1247,1147,
Other Assets,2301,2118,2547,9362,12145,14085,16135,19788,27566,33977,37294,44181,
  └─ Inventories,1017,883,1162,1056,1292,1188,1367,1642,1922,2248,2417,2459,
  └─ Trade receivables,415,491,702,1071,1546,1454,1029,1177,1256,1839,1717,2654,
    └─ Receivables over 6m,10,0,0,0,0,0,0,0,0,678,543,,50
    └─ Receivables under 6m,410,497,707,1081,1563,1476,1073,1230,1306,1210,1217,,308
    └─ Prov for Doubtful,-6,-6,-5,-10,-17,-22,-43,-53,-49,-48,-44,,-5
  └─ Cash Equivalents,28,54,51,173,206,1108,1657,1536,1879,2426,4386,4501,
  └─ Loans n Advances,151,67,72,3456,4699,5489,6006,7553,10537,13874,15458,30411,
  └─ Other asset items,690,624,560,3606,4402,4845,6076,7880,11972,13590,13316,4155,
Total Assets,4570,5146,6128,13190,16696,19272,21865,26919,35025,42024,47651,56501,
