Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,39,39,39,39,39,39,39,39,35,35,34,32
Reserves,195,204,243,264,1247,1713,2393,2927,2465,2948,2438,2082
Borrowings,1,17,-0,-0,0,0,-0,1,1,0,1,0
  └─ Long term Borrowings,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30
  └─ Short term Borrowings,0.66,17.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other Borrowings,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.91,0.69,0.18,0.86,
Other Liabilities,33,24,41,10,350,438,637,719,562,570,238,92
  └─ Non controlling int,0,0,0,0,2,3,4,0,0,0,0,0
  └─ Trade Payables,3,2,2,4,10,2,0,5,0,0,1,21
  └─ Other liability items,30,22,38,6,339,433,633,714,561,569,237,71
Total Liabilities,267,283,323,313,1636,2189,3068,3685,3063,3552,2711,2205
Fixed Assets,7,1,11,10,10,10,9,28,92,130,126,123
  └─ Land,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.32,9.32,48.19,48.19,
  └─ Building,9.86,1.86,11.18,11.18,11.11,11.11,11.11,12.90,13.98,16.67,14.23,
  └─ Equipments,0.31,0.26,0.27,0.30,0.31,0.34,0.41,1.12,1.64,2.56,2.57,
  └─ Computers,0.54,0.58,0.59,0.63,0.63,0.67,0.73,1.45,1.23,1.26,1.34,
  └─ Furniture n fittings,0.15,0.30,0.30,0.31,0.31,0.31,0.31,5.18,5.15,5.16,5.22,
  └─ Vehicles,0.74,0.74,0.78,0.78,0.93,1.26,1.46,1.57,1.53,2.02,2.45,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
  └─ Other fixed assets,120.75,120.77,121.48,121.47,121.55,122.30,122.30,122.17,187.84,187.77,184.43,
  └─ Gross Block,132.35,124.51,134.60,134.67,134.84,135.99,136.32,153.71,220.69,263.63,258.43,
  └─ Accumulated Depreciation,125.63,123.43,123.80,124.42,125.01,126.17,126.95,125.75,128.89,133.25,131.98,
CWIP,-0,-0,0,2,4,7,9,0,-0,-0,-0,-0
Investments,211,240,273,256,1571,2041,2803,3434,2751,3158,2211,1936
Other Assets,49,42,40,44,51,132,247,223,221,264,373,146
  └─ Inventories,8,5,5,9,0,0,0,0,0,0,0,0
  └─ Trade receivables,3,6,1,0,1,3,2,1,18,17,1,10
  └─ Cash Equivalents,2,3,9,5,17,22,109,78,60,43,338,87
  └─ Loans n Advances,0,0,0,0,5,14,17,8,14,13,-15,8
  └─ Other asset items,37,27,24,30,28,94,118,136,129,191,49,42
Total Assets,267,283,323,313,1636,2189,3068,3685,3063,3552,2711,2205
