Metric,Mar 2012,Sep 2013,Sep 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023
Equity Capital,71,71,71,71,71,71,71,71,71,71,71,71
Reserves,48,-28,-139,-188,-218,-237,-255,-370,-418,-439,-453,-480
Borrowings,533,497,539,534,557,558,557,556,557,557,557,557
  └─ Long term Borrowings,258,195,150,130,499,0,0,0,0,0,0,0
  └─ Short term Borrowings,209,234,287,282,0,558,557,557,557,557,557,557
  └─ Other Borrowings,66,68,102,122,58,0,0,-0,0,0,0,0
Other Liabilities,117,176,113,91,82,92,92,77,75,78,82,69
  └─ Trade Payables,98.36,137.22,59.56,41.91,52.19,62.04,56.54,43.12,36.15,33.88,37.54,34.51
  └─ Advance from Customers,3.15,4.83,4.37,2.84,2.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other liability items,15.40,33.96,49.47,46.53,27.24,29.98,35.30,33.47,38.90,44.16,44.27,34.54
Total Liabilities,768,716,584,508,493,483,465,334,284,266,256,217
Fixed Assets,329,309,287,277,258,238,222,207,192,177,162,148
  └─ Land,6,6,6,6,6,3,3,3,3,3,3,3
  └─ Building,80,86,86,86,86,86,86,86,86,86,86,86
  └─ Plant Machinery,393,399,399,399,399,400,400,400,401,401,401,401
  └─ Equipments,0,1,1,1,1,1,1,1,1,1,1,1
  └─ Furniture n fittings,4,4,4,4,4,4,4,4,4,4,4,4
  └─ Vehicles,1,1,1,1,1,1,0,0,0,0,0,0
  └─ Other fixed assets,1,1,1,1,1,1,1,1,1,1,1,1
  └─ Gross Block,485,498,498,498,497,495,496,497,497,497,497,497
  └─ Accumulated Depreciation,156,189,211,221,239,257,274,290,305,320,335,349
CWIP,11,0,0,0,0,0,0,0,0,0,0,0
Investments,0,32,27,27,27,27,27,26,26,26,26,26
Other Assets,429,375,270,204,208,218,216,101,67,64,68,43
  └─ Inventories,174,147,98,43,51,58,42,29,12,11,12,6
  └─ Trade receivables,136,162,122,120,124,121,122,18,16,14,14,3
    └─ Receivables over 6m,22,90,99,102,118,14,0,0,0,0,114,105
    └─ Receivables under 6m,116,97,26,21,21,121,136,121,119,118,3,1
    └─ Prov for Doubtful,-3,-25,-3,-3,-14,-14,-13,-104,-103,-103,-103,-103
  └─ Cash Equivalents,39,8,5,3,6,2,2,2,2,2,2,1
  └─ Loans n Advances,12,19,11,7,5,8,6,4,-8,-7,-2,-9
  └─ Other asset items,69,38,33,30,22,29,43,49,46,43,42,42
Total Assets,768,716,584,508,493,483,465,334,284,266,256,217
