Metric,Jun 2009,Jun 2010,Jun 2011,Jun 2012,Jun 2013,Jun 2014,Mar 2015,Mar 2016
Cash from Operating Activity,8.95,4.83,1.33,-2.97,4.77,0.50,4.37,-2.12
  └─ Profit from operations,1.88,2.46,3.21,2.25,0.49,2.81,-1.11,0.02
  └─ Receivables,12.58,3.87,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Payables,-5.14,-1.27,0.21,0.00,0.00,0.00,0.00,0.00
  └─ Loans Advances,0.00,0.00,-1.78,0.00,0.00,0.00,0.00,0.00
  └─ Other WC items,0.00,0.00,0.00,-5.41,4.05,-1.68,5.94,-2.18
  └─ Working capital changes,7.44,2.60,-1.57,-5.41,4.05,-1.68,5.94,-2.18
  └─ Other operating items,-0.37,-0.23,-0.31,0.19,0.23,-0.63,-0.46,0.04
Cash from Investing Activity,-2.39,-5.75,-1.64,-0.72,-0.71,-1.08,7.07,1.67
  └─ Fixed assets purchased,-0.36,-5.75,-0.26,-0.03,-0.03,-0.40,0.00,0.00
  └─ Fixed assets sold,0.00,0.00,0.00,0.00,0.00,0.00,8.75,0.00
  └─ Investments purchased,-2.03,0.00,-1.38,-0.69,-0.68,-0.68,-1.67,0.00
  └─ Investments sold,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.67
Cash from Financing Activity,-5.87,1.11,-0.50,-1.23,-3.94,0.25,-5.39,0.00
  └─ Proceeds from shares,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00
  └─ Proceeds from borrowings,0.00,2.12,0.25,0.12,0.00,0.00,0.00,0.00
  └─ Repayment of borrowings,-6.64,-1.06,-0.77,0.00,0.00,0.00,-5.39,0.00
  └─ Share application money,0.77,0.05,0.02,0.00,-0.01,0.00,0.00,0.00
  └─ Other financing items,0.00,0.00,0.00,-1.40,-3.93,0.25,0.00,0.00
Net Cash Flow,0.69,0.19,-0.81,-4.92,0.12,-0.33,6.06,-0.45
  └─ Free Cash Flow,8.59,-0.92,1.07,-3.00,4.74,0.10,13.12,-2.12
  └─ CFO/OP,331%,156%,34%,-122%,589%,20%,-319%,505%
