Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,0.38,-0.02,0.67,0.80,2.93,-0.02,-0.25,-0.53,-0.08,-0.04,0.67,0.77
  └─ Profit from operations,0.64,1.21,1.54,0.88,0.45,-0.47,0.04,0.33,0.57,0.36,0.55,0.80
  └─ Receivables,1.26,-3.72,0.00,0.00,4.92,-1.04,-2.31,-0.93,-1.81,-1.82,-0.34,2.26
  └─ Inventory,0.00,0.00,0.00,-0.03,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Payables,0.71,2.54,-0.08,0.92,-3.51,0.41,-0.07,-0.06,0.52,0.12,0.02,0.05
  └─ Loans Advances,-2.23,-0.04,-0.20,-0.06,-0.52,0.91,-1.02,-0.07,0.52,-0.42,0.00,0.00
  └─ Operating investments,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.00
  └─ Operating borrowings,0.00,0.00,0.00,0.00,0.71,-1.46,3.17,0.21,0.01,0.00,0.02,-2.23
  └─ Other WC items,0.00,0.00,-0.59,-0.91,0.00,1.69,0.00,0.00,0.00,1.72,0.14,-0.11
  └─ Working capital changes,-0.26,-1.23,-0.88,-0.09,2.58,0.50,-0.23,-0.85,-0.77,-0.40,0.18,-0.03
  └─ Direct taxes,0.00,0.00,0.00,0.00,-0.10,-0.05,-0.07,-0.02,0.12,0.00,-0.06,0.00
Cash from Investing Activity,-0.35,0.40,-0.09,-0.21,-3.17,-0.50,-0.07,0.10,0.04,0.00,0.08,-0.38
  └─ Fixed assets purchased,0.00,0.00,0.00,0.00,-3.19,-0.50,-0.01,0.00,-0.01,0.00,0.00,0.00
  └─ Fixed assets sold,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Investments purchased,0.00,0.40,-0.12,-0.21,0.00,0.00,-0.06,0.00,0.00,0.00,0.00,-0.37
  └─ Investments sold,-0.35,0.00,0.00,0.00,0.02,0.00,0.00,0.10,0.06,0.00,0.00,0.00
  └─ Interest received,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00
  └─ Other investing items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00
Cash from Financing Activity,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.13,-0.01,-0.01,-1.06
  └─ Proceeds from borrowings,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00
  └─ Repayment of borrowings,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.06
  └─ Interest paid fin,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00
  └─ Financial liabilities,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.03,0.00,0.00
  └─ Other financing items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.00,0.00
Net Cash Flow,0.03,0.38,0.58,0.59,-0.24,-0.51,-0.33,-0.43,0.09,-0.05,0.74,-0.67
  └─ Free Cash Flow,0.38,-0.02,0.70,0.80,-0.26,-0.52,-0.26,-0.53,-0.09,-0.04,0.67,0.77
  └─ CFO/OP,58%,-2%,44%,91%,866%,20%,-75%,73%,-44%,-12%,270%,296%
