Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,-2,0,-1,1,2,-24
  └─ Profit from operations,0.30,0.63,1.41,5.32,9.41,4.67
  └─ Receivables,-1.91,-0.77,-4.28,-7.24,-9.06,-21.94
  └─ Inventory,0.05,-0.05,-0.83,-5.61,-5.39,-16.32
  └─ Payables,-0.37,0.76,2.62,9.24,13.58,26.84
  └─ Loans Advances,-0.13,-0.18,0.06,-0.27,-5.66,-22.94
  └─ Other WC items,-0.07,-0.05,-0.03,-0.09,0.36,7.61
  └─ Working capital changes,-2.44,-0.30,-2.46,-3.97,-6.17,-26.74
  └─ Direct taxes,-0.10,-0.06,-0.14,-0.27,-1.32,-2.35
Cash from Investing Activity,0,-0,-0,-0,-0,0
  └─ Fixed assets purchased,0.00,-0.17,-0.01,-0.05,-0.04,-0.02
  └─ Other investing items,0.00,0.00,-0.01,0.02,0.00,0.03
Cash from Financing Activity,2,-0,1,-1,11,19
  └─ Proceeds from shares,1.60,0.00,0.00,0.00,6.11,0.00
  └─ Proceeds from borrowings,0.71,0.01,1.32,0.00,4.92,14.30
  └─ Repayment of borrowings,0.00,0.00,0.00,-1.05,0.00,0.00
  └─ Interest paid fin,-0.02,-0.07,-0.07,-0.03,-0.04,-0.83
  └─ Dividends paid,0.00,0.00,0.00,0.00,0.00,-0.04
  └─ Other financing items,-0.04,0.00,0.00,0.00,0.04,5.43
Net Cash Flow,0,0,0,-0,13,-6
  └─ Free Cash Flow,-2,0,-1,1,2,-24
  └─ CFO/OP,-892%,65%,-83%,26%,34%,-187%
