Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,2,2,10,5,-0
  └─ Profit from operations,1.76,2.85,7.50,18.24,23.09
  └─ Receivables,-0.88,-2.69,-1.17,-19.31,-4.34
  └─ Payables,1.69,3.65,6.04,11.62,-7.13
  └─ Loans Advances,-0.10,-0.10,-0.73,-1.22,-6.19
  └─ Other WC items,0.20,0.45,0.55,0.80,0.00
  └─ Working capital changes,0.91,1.32,4.69,-8.11,-17.67
  └─ Direct taxes,-0.77,-1.81,-2.61,-5.07,-5.49
Cash from Investing Activity,-0,-0,-4,-15,-1
  └─ Fixed assets purchased,-0.14,-0.44,-0.15,-11.14,-1.21
  └─ Interest received,0.01,0.01,0.24,0.60,0.00
  └─ Other investing items,-0.25,0.25,-4.00,-4.25,0.00
Cash from Financing Activity,0,0,0,9,38
  └─ Proceeds from shares,0.00,0.00,0.00,0.00,49.46
  └─ Proceeds from borrowings,0.00,0.00,0.00,8.79,0.00
  └─ Repayment of borrowings,0.00,0.00,0.00,0.00,-8.79
  └─ Interest paid fin,0.00,0.00,0.00,-0.01,-0.54
  └─ Other financing items,0.00,0.00,0.00,0.00,-1.75
Net Cash Flow,2,2,6,-1,37
  └─ Free Cash Flow,2,2,9,-6,-1
  └─ CFO/OP,153%,166%,165%,55%,25%
