Metric,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,1352,1457,1390,1554,1118,2255,2219,2835,-1235,2995,1711,-1364
  └─ Profit from operations,1530,1636,1480,1864,2036,2432,2538,2991,1840,3044,3099,3021
  └─ Receivables,-192,-219,-70,-779,-268,219,138,-27,-422,39,-343,-2696
  └─ Inventory,-148,59,-48,-174,-279,531,232,-379,-283,-222,-67,147
  └─ Payables,400,212,301,862,157,-442,-47,489,-403,318,-129,726
  └─ Loans Advances,0,0,0,0,0,74,0,0,0,0,0,0
  └─ Other WC items,0,0,0,0,0,-112,65,47,-1563,-1,-757,-2836
  └─ Working capital changes,60,52,183,-91,-391,270,388,130,-2671,133,-1296,-4659
  └─ Direct taxes,-237,-231,-274,-219,-528,-447,-707,-286,-404,-182,-92,274
Cash from Investing Activity,-1457,-904,-533,-379,-364,-321,-535,-988,-4637,-1205,-1262,1273
  └─ Fixed assets purchased,-1606,-1124,-522,-535,-520,-549,-749,-1175,-2105,-1395,-1968,-1427
  └─ Fixed assets sold,3,4,21,14,23,54,1,22,124,46,15,398
  └─ Investments purchased,0,0,0,0,0,0,-4,-10,0,-751,-707,0
  └─ Investments sold,43,24,23,64,36,22,16,10,17,19,60,1500
  └─ Interest received,125,63,65,70,92,177,187,177,215,512,367,115
  └─ Dividends received,10,2,8,5,1,2,0,2,2,8,3,2
  └─ Redemp n Canc of Shares,0,0,0,0,0,0,20,0,0,0,0,0
  └─ Acquisition of companies,0,0,0,0,0,0,0,0,0,-423,-299,-18
  └─ Other investing items,-32,127,-129,3,5,-27,-6,-12,-2891,780,1267,703
Cash from Financing Activity,-837,-716,-430,-426,-380,-374,-327,-331,-1238,-443,-1002,-422
  └─ Proceeds from shares,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Repayment of borrowings,-35,0,0,0,0,0,0,0,0,0,-15,-2
  └─ Interest paid fin,-49,-41,-46,-42,-41,-57,-40,-32,-73,-143,-99,-98
  └─ Dividends paid,-645,-562,-319,-319,-282,-263,-263,-263,-1089,-175,-143,-141
  └─ Financial liabilities,0,0,0,0,0,0,-25,-36,-76,-125,-745,-181
  └─ Other financing items,-108,-113,-65,-65,-58,-54,0,0,0,0,0,0
Net Cash Flow,-942,-164,426,750,374,1559,1357,1517,-7110,1347,-553,-513
  └─ Free Cash Flow,-251,337,889,1034,620,1760,1471,1682,-3216,1646,-242,-2393
  └─ CFO/OP,104%,107%,114%,93%,80%,112%,124%,104%,-43%,104%,59%,-55%
