Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,0,0,17,-19,46,28,1,25
  └─ Profit from operations,0.00,27.81,29.56,47.20,35.11,32.06,30.07,31.05
  └─ Receivables,0.00,-13.49,12.39,-29.11,27.60,-8.63,-30.01,13.60
  └─ Inventory,0.00,-0.43,0.01,-16.21,-14.29,14.12,2.06,-5.34
  └─ Payables,0.00,4.14,-3.77,35.33,-10.22,-1.50,6.92,-17.48
  └─ Other WC items,0.00,-17.63,-17.54,-48.30,11.64,-7.98,-6.19,4.63
  └─ Working capital changes,0.00,-27.41,-8.91,-58.29,14.71,-4.00,-27.23,-4.61
  └─ Direct taxes,0.00,0.00,-3.67,-8.12,-3.70,-0.15,-2.28,-1.59
Cash from Investing Activity,0,-9,-13,-11,-25,-9,-10,-32
  └─ Fixed assets purchased,0.00,-10.11,-13.95,-12.06,-27.03,-9.27,-7.39,-34.33
  └─ Fixed assets sold,0.00,0.19,0.00,0.50,1.70,0.00,0.00,0.00
  └─ Interest received,0.00,0.71,0.58,0.64,0.62,0.52,0.81,1.28
  └─ Other investing items,0.00,0.14,0.00,0.00,-0.42,0.00,-3.55,0.70
Cash from Financing Activity,0,8,1,27,-21,-19,9,8
  └─ Proceeds from shares,0.00,0.00,0.00,0.24,0.00,0.00,0.00,0.00
  └─ Proceeds from borrowings,0.00,15.22,6.21,27.17,0.00,0.32,21.13,21.63
  └─ Repayment of borrowings,0.00,0.00,0.00,0.00,-8.40,0.00,0.00,0.00
  └─ Interest paid fin,0.00,-7.38,-5.38,-8.52,-11.38,-10.86,-11.88,-13.57
  └─ Dividends paid,0.00,0.00,0.00,-0.38,-0.75,0.00,0.00,0.00
  └─ Other financing items,0.00,0.00,0.00,8.33,0.00,-8.33,0.00,0.00
Net Cash Flow,0,-1,4,-3,0,0,-0,1
  └─ Free Cash Flow,0,-10,3,-31,21,19,-7,-9
  └─ CFO/OP,0%,1%,69%,-23%,141%,115%,9%,90%
