Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,122,138,177,191,556,146,442,280,358,656,558,2028
  └─ Profit from operations,3,187,204,268,374,523,499,545,682,955,1107,1529
  └─ Receivables,-6,88,-608,358,118,-226,357,-644,-94,325,-181,199
  └─ Inventory,5,9,-10,-4,-8,-8,-10,-38,-56,84,-121,56
  └─ Payables,-11,-107,601,-296,107,-84,-322,602,190,-435,13,272
  └─ Other WC items,1,3,19,-76,28,9,-32,-98,39,-44,-61,373
  └─ Working capital changes,-12,-8,1,-19,245,-308,-7,-178,79,-70,-350,900
  └─ Interest paid,142,0,0,0,0,0,0,0,0,0,0,0
  └─ Direct taxes,-11,-40,-29,-58,-62,-69,-50,-87,-403,-229,-199,-401
Cash from Investing Activity,15,-64,-220,-296,-155,-151,-428,-179,-931,-712,-1463,-2533
  └─ Fixed assets purchased,-47,-92,-223,-299,-154,-171,-359,-393,-538,-616,-945,-821
  └─ Fixed assets sold,0,0,0,0,0,0,0,0,0,3,1,5
  └─ Investments purchased,0,0,0,0,0,0,0,0,-192,0,0,-1717
  └─ Investments sold,26,22,0,0,0,3,7,0,0,22,196,0
  └─ Interest received,8,5,5,2,4,16,26,27,43,117,185,234
  └─ Dividends received,1,1,1,0,0,0,0,0,0,0,0,0
  └─ Invest in subsidiaries,0,0,-4,-0,-5,0,0,0,0,0,0,-330
  └─ Redemp n Canc of Shares,0,0,0,0,0,0,0,53,329,73,180,0
  └─ Acquisition of companies,0,0,0,0,0,0,0,0,-200,0,0,0
  └─ Other investing items,28,0,0,0,0,0,-103,134,-374,-311,-1081,96
Cash from Financing Activity,-77,-83,47,184,-143,-126,61,-304,1311,256,1283,1606
  └─ Proceeds from shares,0,0,0,239,0,1,1,0,0,0,0,0
  └─ Proceeds from borrowings,85,0,131,40,25,97,176,92,966,679,1230,1684
  └─ Repayment of borrowings,-108,-30,0,0,-110,-83,-13,-126,-416,-8,-11,-2143
  └─ Interest paid fin,-20,-18,-20,-31,-27,-26,-25,-13,-49,-98,-168,-113
  └─ Dividends paid,-34,-36,-31,-41,-31,-87,-49,-221,-215,-238,-135,-377
  └─ Financial liabilities,0,0,0,0,0,-28,-30,-36,-75,-80,-133,-137
  └─ Other financing items,0,0,-33,-23,0,0,0,-0,1098,0,500,2692
Net Cash Flow,61,-9,4,80,258,-131,74,-203,738,200,378,1101
  └─ Free Cash Flow,75,47,-46,-108,402,-24,83,-113,-179,42,-386,1212
  └─ CFO/OP,93%,97%,101%,94%,167%,78%,127%,69%,113%,96%,69%,167%
