Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,11,-77,-210,-309,689,643,-1199,558,804,-330,-1860,-4142
  └─ Profit from operations,123,94,110,264,205,214,492,912,1331,1737,2028,1960
  └─ Receivables,-68,-183,-416,691,-73,139,-222,-341,187,-121,185,-138
  └─ Inventory,-0,-0,-0,0,0,0,0,0,0,0,0,0
  └─ Payables,-36,56,208,83,23,302,1337,1790,5,3125,121,1853
  └─ Loans Advances,0,0,-18,-998,286,481,-848,-229,353,-479,-2215,-1429
  └─ Other WC items,13,-65,-75,-296,297,-463,-1858,-1354,-784,-4204,-1568,-6041
  └─ Working capital changes,-91,-192,-301,-519,534,458,-1591,-133,-239,-1679,-3477,-5755
  └─ Direct taxes,-21,20,-19,-54,-50,-29,-99,-221,-288,-388,-410,-346
Cash from Investing Activity,-7,-13,-50,47,-6,-28,25,-52,-185,-91,-341,-111
  └─ Fixed assets purchased,-11,-17,-12,-7,-12,-13,-14,-70,-114,-208,-164,-81
  └─ Fixed assets sold,0,0,0,0,0,0,0,1,14,0,0,0
  └─ Investments purchased,0,0,-126,-3,-17,-1700,-4453,-6809,-1141,-337,-1363,-7144
  └─ Investments sold,0,0,76,48,8,1682,4492,6826,1056,453,1186,7113
  └─ Interest received,3,3,8,8,14,0,0,0,0,0,0,0
  └─ Dividends received,0,1,1,1,0,2,0,0,0,0,0,0
  └─ Other investing items,1,0,4,0,0,0,0,0,0,0,0,0
Cash from Financing Activity,2,40,350,239,-361,-449,894,-165,-908,1331,1917,3656
  └─ Proceeds from shares,0,79,0,1,0,0,301,23,11,13,1511,17
  └─ Proceeds from debentures,0,0,0,0,0,0,0,25,0,0,39,0
  └─ Proceeds from borrowings,43,3,413,352,0,1,694,66,1003,2661,4441,11382
  └─ Repayment of borrowings,0,0,0,0,-275,-376,-4,-0,-1476,-909,-3581,-6784
  └─ Interest paid fin,-34,-33,-51,-91,-62,-44,-35,-66,-69,-109,-262,-500
  └─ Dividends paid,-8,-10,-10,-20,-19,-19,-43,-209,-376,-324,-199,-444
  └─ Financial liabilities,0,0,0,0,0,-6,-4,-3,-2,-2,-8,-13
  └─ Share application money,0,0,0,0,0,0,0,0,0,1,0,0
  └─ Other financing items,0,0,-2,-4,-4,-4,-15,0,0,-0,-26,0
Net Cash Flow,5,-51,91,-23,323,166,-280,340,-289,910,-284,-597
  └─ Free Cash Flow,-0,-94,-222,-316,678,631,-1213,488,704,-537,-2023,-4222
  └─ CFO/OP,28%,-109%,-6159%,-100%,364%,378%,-239%,84%,84%,3%,-73%,-209%
