Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,6,13,24,-30,17,31,20,16,35,4,-35,-22
  └─ Profit from operations,12.08,16.60,21.86,28.26,12.60,6.83,15.33,21.67,22.18,10.03,20.53,20.52
  └─ Receivables,-10.00,-4.35,2.94,-7.84,-0.74,-9.79,1.51,11.21,4.34,-2.03,-8.83,-16.41
  └─ Inventory,6.83,-0.49,-3.45,-46.43,9.19,29.89,2.27,-17.00,16.03,-2.90,-49.45,-28.11
  └─ Payables,-0.33,7.29,6.87,4.58,-0.22,5.56,-2.69,-0.44,-2.50,-1.61,3.64,3.43
  └─ Loans Advances,1.29,-1.27,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other WC items,-0.65,-1.59,-0.35,-1.69,0.70,1.91,5.31,4.68,-1.62,1.05,-0.89,-1.18
  └─ Working capital changes,-2.86,-0.41,6.62,-51.38,8.93,27.57,6.40,-1.55,16.25,-5.49,-55.53,-42.27
  └─ Direct taxes,-2.82,-3.22,-4.74,-7.01,-4.69,-3.18,-1.28,-3.77,-3.66,-0.09,-0.26,-0.07
Cash from Investing Activity,8,-3,-7,-6,-3,0,-1,3,9,-7,-23,20
  └─ Fixed assets purchased,-2.58,-7.58,-8.09,-7.86,-5.92,-2.34,-5.48,-5.63,-4.71,-12.32,-7.45,-8.94
  └─ Fixed assets sold,0.19,0.59,0.03,1.14,2.11,0.82,0.03,4.69,12.34,2.62,2.25,10.46
  └─ Investments purchased,-1.08,-0.37,-1.60,-0.66,-1.02,-0.60,-0.32,-0.90,-4.25,0.00,0.00,0.00
  └─ Investments sold,9.63,0.10,0.87,0.89,1.65,2.19,4.17,4.80,5.07,0.93,0.30,0.04
  └─ Interest received,0.50,0.55,0.51,0.33,0.16,0.16,0.09,0.07,0.50,1.74,2.00,1.16
  └─ Dividends received,0.11,0.16,0.14,0.06,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other investing items,0.89,3.21,1.14,0.11,-0.03,-0.05,0.10,-0.04,0.40,0.08,-19.96,17.51
Cash from Financing Activity,-14,-8,-18,35,-13,-31,-18,-17,-13,-1,37,-3
  └─ Proceeds from borrowings,9.03,4.92,3.65,5.85,2.64,0.00,7.91,0.11,0.00,6.95,46.44,8.83
  └─ Repayment of borrowings,-12.47,-3.44,-16.67,-5.26,-4.28,-20.90,-22.03,-11.63,-6.86,-0.19,-0.52,0.00
  └─ Interest paid fin,-8.94,-5.39,-4.63,-5.37,-7.91,-4.86,-4.10,-2.67,-1.25,-3.08,-3.74,-6.44
  └─ Dividends paid,-1.54,-3.31,-0.02,-2.16,-2.66,-4.13,-0.03,-2.67,-4.68,-4.65,-4.69,-5.07
  └─ Financial liabilities,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.12,-0.34,-0.23,-0.49,-0.40
  └─ Other financing items,-0.33,-0.72,-0.05,41.82,-0.63,-0.97,-0.07,-0.05,-0.05,-0.08,-0.02,0.00
Net Cash Flow,-0,2,-1,-1,1,1,1,2,31,-4,-21,-5
  └─ Free Cash Flow,4,6,16,-37,13,30,15,15,42,-5,-40,-20
  └─ CFO/OP,81%,101%,136%,-84%,194%,3245%,187%,107%,179%,46%,-180%,-124%
