Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,207,193,212,180,176,179,237,129,101,116,65,197
  └─ Profit from operations,239,274,263,254,277,206,242,175,143,156,128,223
  └─ Receivables,-5,-12,-3,-5,-6,11,3,2,-10,-15,-28,-4
  └─ Inventory,0,-11,8,-4,-14,-2,20,-14,6,-5,1,-6
  └─ Payables,11,-4,3,22,11,29,-11,-8,4,19,3,8
  └─ Loans Advances,-1,0,0,0,0,0,0,0,0,0,0,0
  └─ Other WC items,8,-0,-1,-27,-30,-17,29,6,-12,-5,-11,14
  └─ Working capital changes,13,-28,7,-14,-39,21,41,-14,-12,-6,-35,12
  └─ Direct taxes,-46,-53,-58,-59,-61,-48,-46,-33,-30,-34,-28,-38
Cash from Investing Activity,-19,6,-15,37,68,-173,-106,0,64,12,155,-14
  └─ Fixed assets purchased,-1,-17,-36,-19,-12,-7,-3,-11,-6,-5,-6,-33
  └─ Fixed assets sold,0,0,0,1,2,1,0,0,0,0,0,0
  └─ Investments purchased,-21,-86,-53,0,0,-194,-137,-24,0,-6,-60,-23
  └─ Investments sold,0,0,0,28,49,0,0,0,35,0,249,0
  └─ Interest received,23,25,28,27,23,28,32,35,38,40,31,23
  └─ Invest in subsidiaries,0,0,0,0,0,0,0,0,0,0,0,-62
  └─ Other investing items,-21,83,45,-0,6,-1,0,0,-3,-17,-60,81
Cash from Financing Activity,-204,-194,-200,-216,-238,-9,-134,-124,-163,-120,-212,-196
  └─ Proceeds from shares,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Proceeds from borrowings,0,0,5,0,12,0,0,0,0,0,0,0
  └─ Repayment of borrowings,0,0,0,0,0,-5,-15,-5,0,0,0,0
  └─ Interest paid fin,0,-0,-1,-1,-1,-4,-1,-1,-0,0,-0,-0
  └─ Dividends paid,-170,-170,-170,-177,-206,0,-118,-118,-59,-114,0,0
  └─ Financial liabilities,0,0,0,0,0,0,0,0,-3,-5,-5,-6
  └─ Other financing items,-34,-25,-35,-38,-42,0,0,0,-100,-1,-206,-190
Net Cash Flow,-16,5,-3,1,6,-3,-3,5,2,9,8,-14
  └─ Free Cash Flow,206,176,177,162,167,173,235,118,95,112,59,163
  └─ CFO/OP,106%,90%,103%,94%,87%,111%,116%,93%,93%,97%,73%,106%
