Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,37,4,-0,7,3,1,4,-14,11,-13,-2,-13
  └─ Profit from operations,0.33,6.13,7.80,5.26,4.07,9.04,1.60,6.07,4.43,-7.79,-1.98,7.26
  └─ Receivables,14.04,-5.74,-10.51,-24.19,15.91,0.43,-0.60,-10.00,5.01,28.42,4.09,-3.44
  └─ Inventory,9.16,2.46,-3.18,5.25,-8.06,0.53,9.40,-6.13,-15.12,-28.45,-18.41,8.95
  └─ Payables,14.23,1.63,0.06,17.90,-9.02,-3.16,-6.73,-5.42,17.85,2.38,16.21,-2.61
  └─ Loans Advances,-0.68,-0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other WC items,0.00,0.00,3.78,2.21,0.48,-6.00,-0.25,1.73,-1.61,-7.64,-1.43,-23.01
  └─ Working capital changes,36.75,-1.81,-9.85,1.16,-0.69,-8.21,1.83,-19.82,6.13,-5.29,0.46,-20.12
  └─ Direct taxes,-0.50,-0.49,1.96,0.18,-0.29,0.23,0.25,0.11,0.02,0.00,0.00,0.00
Cash from Investing Activity,-0,-1,-2,-3,-5,2,2,10,-16,17,5,2
  └─ Fixed assets purchased,-1.96,-1.73,-0.45,-5.79,-2.28,-1.18,-2.02,-0.63,-1.61,-2.75,-0.35,-0.16
  └─ Fixed assets sold,0.18,0.02,0.05,0.00,0.73,0.08,0.34,0.79,0.52,0.07,0.01,0.01
  └─ Capital WIP,-0.08,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Investments purchased,0.00,0.00,-0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Investments sold,0.00,0.00,1.20,0.50,0.00,12.95,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Interest received,1.50,0.98,1.10,0.73,0.69,1.57,1.73,1.34,1.24,1.95,0.95,0.50
  └─ Dividends received,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other investing items,0.00,0.00,-2.92,1.60,-3.72,-11.24,2.04,8.03,-15.70,17.85,4.41,1.33
Cash from Financing Activity,-40,-3,1,-7,1,-3,-5,4,4,-4,-3,11
  └─ Proceeds from borrowings,0.00,1.02,2.24,5.30,0.18,0.00,0.00,4.99,5.21,2.42,0.00,12.85
  └─ Repayment of borrowings,-36.12,0.00,-0.22,-12.36,-2.07,-1.66,-3.10,-0.87,0.00,-5.28,-1.81,0.00
  └─ Interest paid fin,-4.56,-4.15,-0.89,-0.36,-0.80,-0.81,-0.80,-0.50,-0.84,-1.22,-1.55,-1.68
  └─ Other financing items,0.41,-0.20,0.00,0.60,4.04,-0.66,-0.91,0.00,0.00,0.00,0.00,0.00
Net Cash Flow,-4,-0,-0,-3,-0,0,1,-0,-1,-0,0,-0
  └─ Free Cash Flow,35,2,-0,1,2,-0,2,-13,9,-16,-2,-13
  └─ CFO/OP,-4879%,89%,-33%,252%,144%,97%,-284%,-238%,265%,155%,50%,-158%
