Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,43,10,53,29,5,95,29,39,63,325
  └─ Profit from operations,41,53,82,63,87,144,124,192,206,247
  └─ Receivables,-17,5,-54,32,-100,-6,2,-42,-33,24
  └─ Inventory,-21,1,-4,-66,82,55,-125,-64,-60,171
  └─ Payables,43,-44,48,16,-46,-35,48,-25,25,-65
  └─ Loans Advances,-1,-1,-10,-10,-13,-27,2,7,-53,-17
  └─ Working capital changes,4,-40,-20,-29,-76,-13,-73,-124,-121,113
  └─ Direct taxes,-2,-4,-9,-6,-6,-37,-22,-29,-22,-35
  └─ Other operating items,-0,0,0,0,0,0,0,0,0,0
Cash from Investing Activity,-45,-40,-19,-13,-13,-145,-250,-131,-129,-198
  └─ Fixed assets purchased,-46,-10,-19,-13,-22,-167,-256,-137,-134,-132
  └─ Fixed assets sold,0,2,0,0,0,0,0,0,0,0
  └─ Investments purchased,0,-31,-0,0,0,0,0,0,0,-71
  └─ Investments sold,1,0,0,0,9,22,0,0,0,0
  └─ Acquisition of companies,0,0,0,0,0,0,0,0,-2,0
  └─ Other investing items,0,0,0,0,0,0,6,6,7,4
Cash from Financing Activity,16,16,-25,-21,6,62,206,92,83,-8
  └─ Proceeds from borrowings,38.37,20.69,0.00,0.00,0.00,40.95,177.12,38.40,59.22,32.89
  └─ Repayment of borrowings,0.00,0.00,-14.56,-29.30,-23.73,0.00,0.00,0.00,0.00,0.00
  └─ Interest paid fin,-21.10,-21.16,-18.62,0.00,0.00,-17.66,-17.73,-31.10,-30.28,-32.63
  └─ Dividends paid,-1.71,0.00,0.00,-1.00,0.00,-6.53,-2.80,-4.94,-7.38,-7.82
  └─ Share application money,0.00,6.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other financing items,0.00,9.98,7.73,9.30,30.00,45.32,49.06,89.71,61.60,-0.09
Net Cash Flow,13,-14,8,-6,-2,12,-16,0,17,119
  └─ Free Cash Flow,-3,2,34,15,-17,-72,-228,-98,-71,193
  └─ CFO/OP,123%,30%,84%,62%,16%,96%,41%,36%,42%,149%
