Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,17,0,8,19,30,23,31,36,37
  └─ Profit from operations,22,10,14,22,39,43,45,55,64
  └─ Receivables,-4,-11,-7,-2,-11,-18,-17,-23,-17
  └─ Inventory,-0,-7,-3,-4,-6,-8,-19,-10,-15
  └─ Payables,-1,7,1,6,11,8,19,12,9
  └─ Loans Advances,0,-0,-0,-1,-2,-2,-1,-2,-6
  └─ Other WC items,0,1,3,-3,-1,-1,4,4,1
  └─ Working capital changes,-5,-9,-6,-4,-10,-20,-14,-19,-27
Cash from Investing Activity,-11,-21,-15,-6,-22,-19,-14,-36,-51
  └─ Fixed assets purchased,-8,-21,-15,-6,-19,-18,-12,-37,-53
  └─ Investments purchased,0,-0,0,-0,0,0,0,0,0
  └─ Investments sold,0,0,0,0,0,0,1,0,0
  └─ Interest received,0,0,0,0,0,1,1,5,10
  └─ Other investing items,-3,0,0,0,-3,-2,-4,-4,-8
Cash from Financing Activity,5,12,9,-8,-1,-2,-7,118,-8
  └─ Proceeds from shares,7.64,0.00,8.74,0.00,0.00,0.00,0.00,0.48,7.00
  └─ Proceeds from borrowings,0.00,13.50,3.80,0.81,1.82,4.31,0.00,124.48,6.33
  └─ Repayment of borrowings,-1.18,0.00,-1.23,-6.11,0.00,-4.37,-4.67,0.00,-6.01
  └─ Interest paid fin,-1.01,-1.43,-2.59,-2.42,-1.90,-2.41,-2.82,-6.99,-15.31
  └─ Other financing items,0.00,0.00,0.00,0.00,-0.90,0.00,0.00,0.00,-0.08
Net Cash Flow,12,-9,2,5,7,2,9,118,-22
  └─ Free Cash Flow,9,-21,-7,13,10,5,19,-1,-16
  └─ CFO/OP,181%,1%,47%,75%,69%,44%,52%,48%,49%
