Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,-0.15,0.61,2.19,1.34,-2.11,-1.68,4.00,1.75,-0.45,-3.74,0.03,-2.50
  └─ Profit from operations,4.02,4.78,2.63,2.17,1.55,0.26,0.95,0.17,-0.24,-1.13,-0.74,-0.26
  └─ Receivables,2.41,2.92,-2.27,-15.47,11.09,15.58,0.62,2.72,1.61,0.09,0.04,4.79
  └─ Inventory,0.00,0.00,0.00,-20.73,1.92,0.21,-0.60,-0.34,0.00,0.00,0.00,-0.41
  └─ Payables,0.00,0.00,0.00,36.91,-13.04,-19.35,4.61,-0.60,-7.04,1.66,-1.19,-7.44
  └─ Loans Advances,2.83,0.26,3.93,-0.02,-0.47,0.63,-1.94,0.00,0.00,0.00,0.00,-0.35
  └─ Other WC items,-9.37,-7.56,-2.03,-1.52,-3.16,0.99,0.37,-0.19,6.05,-4.36,1.92,1.18
  └─ Working capital changes,-4.13,-4.38,-0.37,-0.82,-3.66,-1.95,3.06,1.58,0.62,-2.61,0.76,-2.24
  └─ Direct taxes,-0.25,-0.09,-0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other operating items,0.21,0.30,0.00,0.00,0.00,0.00,0.00,0.00,-0.84,0.00,0.00,0.00
  └─ Exceptional CF items,0.00,0.00,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cash from Investing Activity,-0.44,-1.51,-3.25,-1.42,0.05,0.03,-5.21,0.00,0.00,5.02,0.00,-0.01
  └─ Fixed assets purchased,-0.01,-8.54,-0.06,-0.35,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.01
  └─ Fixed assets sold,0.02,-0.00,-0.00,-0.00,-0.00,-0.00,2.27,-0.00,-0.00,5.02,-0.00,-0.00
  └─ Capital WIP,-0.49,6.99,-3.26,-1.09,-0.00,-0.00,-7.48,-0.00,-0.00,-0.00,-0.00,-0.00
  └─ Investments sold,-0.00,-0.00,0.05,-0.00,-0.00,0.02,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00
  └─ Interest received,0.03,0.04,0.03,0.02,0.06,0.01,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00
Cash from Financing Activity,0.80,0.70,0.92,0.47,1.88,1.65,1.25,-1.78,0.62,-1.57,0.00,2.43
  └─ Proceeds from borrowings,0.76,0.70,0.92,0.47,1.88,1.65,1.25,-0.00,0.62,-0.00,-0.00,2.42
  └─ Repayment of borrowings,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-1.78,-0.00,-1.57,-0.00,-0.00
  └─ Share application money,0.04,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00
  └─ Application money refund,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,0.01
Net Cash Flow,0.20,-0.20,-0.14,0.39,-0.18,0.00,0.04,-0.03,0.17,-0.29,0.03,-0.08
  └─ Free Cash Flow,-0.63,-0.94,-1.13,-0.10,-2.11,-1.68,-1.21,1.75,-0.45,1.28,0.03,-2.51
  └─ CFO/OP,2%,14%,83%,58%,-113%,-233%,396%,547%,44%,370%,-3%,862%
