Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,87,48,-46,66,51
  └─ Profit from operations,182,35,45,56,51
  └─ Receivables,11,24,-55,10,-22
  └─ Inventory,-84,-8,-36,-13,38
  └─ Payables,-0,10,8,-1,-4
  └─ Loans Advances,-0,-0,0,0,-0
  └─ Other WC items,22,-8,-8,12,-6
  └─ Working capital changes,-51,17,-91,9,6
  └─ Direct taxes,-44,-4,0,2,-6
Cash from Investing Activity,-67,-149,-40,-7,-19
  └─ Fixed assets purchased,-66.03,-160.14,-43.04,-9.10,-11.82
  └─ Fixed assets sold,0.07,1.56,0.14,0.01,0.01
  └─ Investments sold,0.00,7.86,2.48,1.12,0.00
  └─ Interest received,0.48,0.71,0.53,0.73,0.59
  └─ Other investing items,-1.33,1.44,-0.27,0.03,-7.31
Cash from Financing Activity,-16,102,82,-59,-33
  └─ Proceeds from borrowings,22.00,108.34,115.10,0.00,0.00
  └─ Repayment of borrowings,-32.17,-0.25,-7.96,-32.42,-13.72
  └─ Interest paid fin,-6.22,-6.37,-25.18,-26.30,-19.04
  └─ Financial liabilities,0.00,0.00,0.00,-0.06,0.00
Net Cash Flow,4,1,-4,0,-0
  └─ Free Cash Flow,21,-111,-89,57,39
  └─ CFO/OP,75%,165%,-119%,110%,102%
