Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,-147,236,-274,-190,-177,583,-266,118,73,-36,-75,-196
  └─ Profit from operations,44,52,75,112,154,121,25,49,-6,-93,-12,-33
  └─ Receivables,0,-0,0,0,-15,-56,33,25,1,1,2,3
  └─ Inventory,-294,40,-234,-331,-289,679,4,7,-76,-30,-75,-267
  └─ Payables,19,-6,-4,-7,-1,10,-3,-12,-1,3,-2,2
  └─ Loans Advances,-8,16,-159,-2,-55,20,0,0,0,0,0,0
  └─ Other WC items,91,134,52,37,30,-190,-325,50,155,84,12,100
  └─ Working capital changes,-192,184,-345,-303,-331,463,-291,69,79,58,-63,-162
  └─ Direct taxes,-0,-0,-4,1,-0,0,1,-1,0,-0,-0,0
Cash from Investing Activity,32,-212,45,-142,-247,-16,1204,93,-67,-189,184,96
  └─ Fixed assets purchased,-0,-1,-6,-12,-3,-10,-4,-6,-1,-1,-1,-2
  └─ Fixed assets sold,0,0,0,0,0,0,0,0,0,11,0,3
  └─ Investments purchased,-267,-104,-268,-92,-37,-55,-61,-154,-166,-211,-110,-149
  └─ Investments sold,211,94,309,6,27,22,318,149,168,195,102,130
  └─ Interest received,19,81,44,34,25,40,69,37,11,28,43,19
  └─ Dividends received,0,0,0,1,1,1,0,0,0,1,0,0
  └─ Investment in group cos,1,0,0,0,0,0,0,0,0,0,0,0
  └─ Other investing items,68,-283,-35,-79,-260,-13,882,67,-79,-210,151,95
Cash from Financing Activity,114,-21,204,187,100,-562,-940,-214,-0,232,-124,103
  └─ Proceeds from shares,0,0,0,0,0,0,0,0,0,0,0,103
  └─ Proceeds from borrowings,369,116,1258,1599,309,0,0,0,59,328,0,97
  └─ Repayment of borrowings,-160,0,-900,-1289,0,-237,-788,-145,0,0,-10,0
  └─ Interest paid fin,-96,-137,-155,-124,-209,-325,-152,-68,-58,-95,-113,-97
  └─ Financial liabilities,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
Net Cash Flow,-2,4,-25,-146,-324,6,-2,-3,6,7,-15,3
  └─ Free Cash Flow,-148,236,-279,-202,-179,573,-269,112,72,-27,-76,-194
  └─ CFO/OP,-362%,528%,-395%,-187%,-123%,527%,-1740%,287%,-242%,34%,88%,133%
